Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","57","Belarus","5922","Export Value","572","Avocados","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","132","Maldives","5922","Export Value","572","Avocados","2019","2019","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","196","Seychelles","5922","Export Value","572","Avocados","2018","2018","1000 US$","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","196","Seychelles","5922","Export Value","572","Avocados","2019","2019","1000 US$","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","208","Tajikistan","5922","Export Value","572","Avocados","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","211","Switzerland","5922","Export Value","572","Avocados","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","4","Algeria","211","Switzerland","5922","Export Value","572","Avocados","2019","2019","1000 US$","4","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","225","United Arab Emirates","5922","Export Value","572","Avocados","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","9","Argentina","68","France","5922","Export Value","572","Avocados","2015","2015","1000 US$","54","","Official data"
"TM","Detailed trade matrix","9","Argentina","68","France","5922","Export Value","572","Avocados","2016","2016","1000 US$","158","","Official data"
"TM","Detailed trade matrix","9","Argentina","229","United Kingdom of Great Britain and Northern Ireland","5922","Export Value","572","Avocados","2015","2015","1000 US$","150","","Official data"
"TM","Detailed trade matrix","9","Argentina","229","United Kingdom of Great Britain and Northern Ireland","5922","Export Value","572","Avocados","2016","2016","1000 US$","63","","Official data"
"TM","Detailed trade matrix","9","Argentina","234","Uruguay","5922","Export Value","572","Avocados","2015","2015","1000 US$","13","","Official data"
"TM","Detailed trade matrix","9","Argentina","234","Uruguay","5922","Export Value","572","Avocados","2016","2016","1000 US$","16","","Official data"
"TM","Detailed trade matrix","9","Argentina","234","Uruguay","5922","Export Value","572","Avocados","2017","2017","1000 US$","30","","Official data"
"TM","Detailed trade matrix","10","Australia","13","Bahrain","5922","Export Value","572","Avocados","2016","2016","1000 US$","50","","Official data"
"TM","Detailed trade matrix","10","Australia","13","Bahrain","5922","Export Value","572","Avocados","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","13","Bahrain","5922","Export Value","572","Avocados","2018","2018","1000 US$","10","","Official data"
"TM","Detailed trade matrix","10","Australia","13","Bahrain","5922","Export Value","572","Avocados","2019","2019","1000 US$","31","","Official data"
"TM","Detailed trade matrix","10","Australia","13","Bahrain","5922","Export Value","572","Avocados","2020","2020","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","16","Bangladesh","5922","Export Value","572","Avocados","2019","2019","1000 US$","7","","Official data"
"TM","Detailed trade matrix","10","Australia","16","Bangladesh","5922","Export Value","572","Avocados","2020","2020","1000 US$","4","","Official data"
"TM","Detailed trade matrix","10","Australia","26","Brunei Darussalam","5922","Export Value","572","Avocados","2015","2015","1000 US$","67","","Official data"
"TM","Detailed trade matrix","10","Australia","26","Brunei Darussalam","5922","Export Value","572","Avocados","2016","2016","1000 US$","110","","Official data"
"TM","Detailed trade matrix","10","Australia","26","Brunei Darussalam","5922","Export Value","572","Avocados","2017","2017","1000 US$","136","","Official data"
"TM","Detailed trade matrix","10","Australia","26","Brunei Darussalam","5922","Export Value","572","Avocados","2018","2018","1000 US$","88","","Official data"
"TM","Detailed trade matrix","10","Australia","26","Brunei Darussalam","5922","Export Value","572","Avocados","2019","2019","1000 US$","103","","Official data"
"TM","Detailed trade matrix","10","Australia","26","Brunei Darussalam","5922","Export Value","572","Avocados","2020","2020","1000 US$","160","","Official data"
"TM","Detailed trade matrix","10","Australia","115","Cambodia","5922","Export Value","572","Avocados","2018","2018","1000 US$","3","","Official data"
"TM","Detailed trade matrix","10","Australia","115","Cambodia","5922","Export Value","572","Avocados","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","33","Canada","5922","Export Value","572","Avocados","2019","2019","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","572","Avocados","2015","2015","1000 US$","188","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","572","Avocados","2016","2016","1000 US$","672","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","572","Avocados","2017","2017","1000 US$","1251","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","572","Avocados","2018","2018","1000 US$","1128","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","572","Avocados","2019","2019","1000 US$","2949","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","572","Avocados","2020","2020","1000 US$","4357","","Official data"
"TM","Detailed trade matrix","10","Australia","66","Fiji","5922","Export Value","572","Avocados","2015","2015","1000 US$","42","","Official data"
"TM","Detailed trade matrix","10","Australia","66","Fiji","5922","Export Value","572","Avocados","2016","2016","1000 US$","38","","Official data"
"TM","Detailed trade matrix","10","Australia","66","Fiji","5922","Export Value","572","Avocados","2017","2017","1000 US$","60","","Official data"
"TM","Detailed trade matrix","10","Australia","66","Fiji","5922","Export Value","572","Avocados","2018","2018","1000 US$","54","","Official data"
"TM","Detailed trade matrix","10","Australia","66","Fiji","5922","Export Value","572","Avocados","2019","2019","1000 US$","70","","Official data"
"TM","Detailed trade matrix","10","Australia","66","Fiji","5922","Export Value","572","Avocados","2020","2020","1000 US$","31","","Official data"
"TM","Detailed trade matrix","10","Australia","101","Indonesia","5922","Export Value","572","Avocados","2015","2015","1000 US$","91","","Official data"
"TM","Detailed trade matrix","10","Australia","101","Indonesia","5922","Export Value","572","Avocados","2016","2016","1000 US$","115","","Official data"
"TM","Detailed trade matrix","10","Australia","101","Indonesia","5922","Export Value","572","Avocados","2017","2017","1000 US$","33","","Official data"
"TM","Detailed trade matrix","10","Australia","101","Indonesia","5922","Export Value","572","Avocados","2018","2018","1000 US$","331","","Official data"
"TM","Detailed trade matrix","10","Australia","101","Indonesia","5922","Export Value","572","Avocados","2019","2019","1000 US$","459","","Official data"
"TM","Detailed trade matrix","10","Australia","101","Indonesia","5922","Export Value","572","Avocados","2020","2020","1000 US$","276","","Official data"
"TM","Detailed trade matrix","10","Australia","110","Japan","5922","Export Value","572","Avocados","2018","2018","1000 US$","6","","Official data"
"TM","Detailed trade matrix","10","Australia","110","Japan","5922","Export Value","572","Avocados","2019","2019","1000 US$","126","","Official data"
"TM","Detailed trade matrix","10","Australia","110","Japan","5922","Export Value","572","Avocados","2020","2020","1000 US$","17","","Official data"
"TM","Detailed trade matrix","10","Australia","83","Kiribati","5922","Export Value","572","Avocados","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","83","Kiribati","5922","Export Value","572","Avocados","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","83","Kiribati","5922","Export Value","572","Avocados","2018","2018","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","118","Kuwait","5922","Export Value","572","Avocados","2015","2015","1000 US$","34","","Official data"
"TM","Detailed trade matrix","10","Australia","118","Kuwait","5922","Export Value","572","Avocados","2016","2016","1000 US$","304","","Official data"
"TM","Detailed trade matrix","10","Australia","118","Kuwait","5922","Export Value","572","Avocados","2017","2017","1000 US$","146","","Official data"
"TM","Detailed trade matrix","10","Australia","118","Kuwait","5922","Export Value","572","Avocados","2018","2018","1000 US$","11","","Official data"
"TM","Detailed trade matrix","10","Australia","118","Kuwait","5922","Export Value","572","Avocados","2019","2019","1000 US$","140","","Official data"
"TM","Detailed trade matrix","10","Australia","121","Lebanon","5922","Export Value","572","Avocados","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","121","Lebanon","5922","Export Value","572","Avocados","2019","2019","1000 US$","77","","Official data"
"TM","Detailed trade matrix","10","Australia","131","Malaysia","5922","Export Value","572","Avocados","2015","2015","1000 US$","2039","","Official data"
"TM","Detailed trade matrix","10","Australia","131","Malaysia","5922","Export Value","572","Avocados","2016","2016","1000 US$","3274","","Official data"
"TM","Detailed trade matrix","10","Australia","131","Malaysia","5922","Export Value","572","Avocados","2017","2017","1000 US$","3856","","Official data"
"TM","Detailed trade matrix","10","Australia","131","Malaysia","5922","Export Value","572","Avocados","2018","2018","1000 US$","5493","","Official data"
"TM","Detailed trade matrix","10","Australia","131","Malaysia","5922","Export Value","572","Avocados","2019","2019","1000 US$","6560","","Official data"
"TM","Detailed trade matrix","10","Australia","131","Malaysia","5922","Export Value","572","Avocados","2020","2020","1000 US$","4604","","Official data"
"TM","Detailed trade matrix","10","Australia","132","Maldives","5922","Export Value","572","Avocados","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","132","Maldives","5922","Export Value","572","Avocados","2019","2019","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","28","Myanmar","5922","Export Value","572","Avocados","2016","2016","1000 US$","4","","Official data"
"TM","Detailed trade matrix","10","Australia","28","Myanmar","5922","Export Value","572","Avocados","2017","2017","1000 US$","85","","Official data"
"TM","Detailed trade matrix","10","Australia","28","Myanmar","5922","Export Value","572","Avocados","2018","2018","1000 US$","33","","Official data"
"TM","Detailed trade matrix","10","Australia","28","Myanmar","5922","Export Value","572","Avocados","2019","2019","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","28","Myanmar","5922","Export Value","572","Avocados","2020","2020","1000 US$","3","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","572","Avocados","2015","2015","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","572","Avocados","2016","2016","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","572","Avocados","2017","2017","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","572","Avocados","2018","2018","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","572","Avocados","2019","2019","1000 US$","3","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","572","Avocados","2020","2020","1000 US$","8","","Official data"
"TM","Detailed trade matrix","10","Australia","153","New Caledonia","5922","Export Value","572","Avocados","2016","2016","1000 US$","4","","Official data"
"TM","Detailed trade matrix","10","Australia","153","New Caledonia","5922","Export Value","572","Avocados","2018","2018","1000 US$","11","","Official data"
"TM","Detailed trade matrix","10","Australia","153","New Caledonia","5922","Export Value","572","Avocados","2019","2019","1000 US$","18","","Official data"
"TM","Detailed trade matrix","10","Australia","153","New Caledonia","5922","Export Value","572","Avocados","2020","2020","1000 US$","28","","Official data"
"TM","Detailed trade matrix","10","Australia","221","Oman","5922","Export Value","572","Avocados","2015","2015","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","221","Oman","5922","Export Value","572","Avocados","2017","2017","1000 US$","24","","Official data"
"TM","Detailed trade matrix","10","Australia","221","Oman","5922","Export Value","572","Avocados","2018","2018","1000 US$","4","","Official data"
"TM","Detailed trade matrix","10","Australia","221","Oman","5922","Export Value","572","Avocados","2019","2019","1000 US$","8","","Official data"
"TM","Detailed trade matrix","10","Australia","168","Papua New Guinea","5922","Export Value","572","Avocados","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","168","Papua New Guinea","5922","Export Value","572","Avocados","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","168","Papua New Guinea","5922","Export Value","572","Avocados","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","179","Qatar","5922","Export Value","572","Avocados","2015","2015","1000 US$","21","","Official data"
"TM","Detailed trade matrix","10","Australia","179","Qatar","5922","Export Value","572","Avocados","2016","2016","1000 US$","31","","Official data"
"TM","Detailed trade matrix","10","Australia","179","Qatar","5922","Export Value","572","Avocados","2017","2017","1000 US$","50","","Official data"
"TM","Detailed trade matrix","10","Australia","179","Qatar","5922","Export Value","572","Avocados","2018","2018","1000 US$","26","","Official data"
"TM","Detailed trade matrix","10","Australia","179","Qatar","5922","Export Value","572","Avocados","2019","2019","1000 US$","23","","Official data"
"TM","Detailed trade matrix","10","Australia","179","Qatar","5922","Export Value","572","Avocados","2020","2020","1000 US$","16","","Official data"
"TM","Detailed trade matrix","10","Australia","194","Saudi Arabia","5922","Export Value","572","Avocados","2015","2015","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","194","Saudi Arabia","5922","Export Value","572","Avocados","2016","2016","1000 US$","49","","Official data"
"TM","Detailed trade matrix","10","Australia","194","Saudi Arabia","5922","Export Value","572","Avocados","2017","2017","1000 US$","41","","Official data"
"TM","Detailed trade matrix","10","Australia","194","Saudi Arabia","5922","Export Value","572","Avocados","2018","2018","1000 US$","4","","Official data"
"TM","Detailed trade matrix","10","Australia","194","Saudi Arabia","5922","Export Value","572","Avocados","2019","2019","1000 US$","62","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","572","Avocados","2015","2015","1000 US$","3621","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","572","Avocados","2016","2016","1000 US$","3302","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","572","Avocados","2017","2017","1000 US$","3272","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","572","Avocados","2018","2018","1000 US$","4186","","Official data"
