Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","33","Canada","5922","Export Value","486","Bananas","2015","2015","1000 US$","1","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5922","Export Value","486","Bananas","2015","2015","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","211","Switzerland","5922","Export Value","486","Bananas","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","1","Armenia","73","Georgia","5922","Export Value","486","Bananas","2018","2018","1000 US$","3","","Official data"
"TM","Detailed trade matrix","1","Armenia","73","Georgia","5922","Export Value","486","Bananas","2019","2019","1000 US$","8","","Official data"
"TM","Detailed trade matrix","1","Armenia","73","Georgia","5922","Export Value","486","Bananas","2020","2020","1000 US$","35","","Official data"
"TM","Detailed trade matrix","10","Australia","33","Canada","5922","Export Value","486","Bananas","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","486","Bananas","2015","2015","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","486","Bananas","2016","2016","1000 US$","6","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","486","Bananas","2017","2017","1000 US$","13","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","486","Bananas","2018","2018","1000 US$","28","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","486","Bananas","2019","2019","1000 US$","23","","Official data"
"TM","Detailed trade matrix","10","Australia","96","China, Hong Kong SAR","5922","Export Value","486","Bananas","2020","2020","1000 US$","12","","Official data"
"TM","Detailed trade matrix","10","Australia","41","China, mainland","5922","Export Value","486","Bananas","2019","2019","1000 US$","35","","Official data"
"TM","Detailed trade matrix","10","Australia","66","Fiji","5922","Export Value","486","Bananas","2020","2020","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","110","Japan","5922","Export Value","486","Bananas","2016","2016","1000 US$","17","","Official data"
"TM","Detailed trade matrix","10","Australia","110","Japan","5922","Export Value","486","Bananas","2017","2017","1000 US$","122","","Official data"
"TM","Detailed trade matrix","10","Australia","110","Japan","5922","Export Value","486","Bananas","2018","2018","1000 US$","110","","Official data"
"TM","Detailed trade matrix","10","Australia","110","Japan","5922","Export Value","486","Bananas","2019","2019","1000 US$","97","","Official data"
"TM","Detailed trade matrix","10","Australia","110","Japan","5922","Export Value","486","Bananas","2020","2020","1000 US$","25","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","486","Bananas","2015","2015","1000 US$","5","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","486","Bananas","2016","2016","1000 US$","4","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","486","Bananas","2017","2017","1000 US$","21","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","486","Bananas","2018","2018","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","486","Bananas","2019","2019","1000 US$","22","","Official data"
"TM","Detailed trade matrix","10","Australia","148","Nauru","5922","Export Value","486","Bananas","2020","2020","1000 US$","22","","Official data"
"TM","Detailed trade matrix","10","Australia","156","New Zealand","5922","Export Value","486","Bananas","2016","2016","1000 US$","148","","Official data"
"TM","Detailed trade matrix","10","Australia","156","New Zealand","5922","Export Value","486","Bananas","2020","2020","1000 US$","20","","Official data"
"TM","Detailed trade matrix","10","Australia","159","Nigeria","5922","Export Value","486","Bananas","2017","2017","1000 US$","22","","Official data"
"TM","Detailed trade matrix","10","Australia","168","Papua New Guinea","5922","Export Value","486","Bananas","2015","2015","1000 US$","9","","Official data"
"TM","Detailed trade matrix","10","Australia","168","Papua New Guinea","5922","Export Value","486","Bananas","2016","2016","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","168","Papua New Guinea","5922","Export Value","486","Bananas","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","179","Qatar","5922","Export Value","486","Bananas","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","179","Qatar","5922","Export Value","486","Bananas","2020","2020","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","196","Seychelles","5922","Export Value","486","Bananas","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","486","Bananas","2015","2015","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","486","Bananas","2016","2016","1000 US$","24","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","486","Bananas","2017","2017","1000 US$","38","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","486","Bananas","2018","2018","1000 US$","11","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","486","Bananas","2019","2019","1000 US$","1","","Official data"
"TM","Detailed trade matrix","10","Australia","200","Singapore","5922","Export Value","486","Bananas","2020","2020","1000 US$","6","","Official data"
"TM","Detailed trade matrix","10","Australia","25","Solomon Islands","5922","Export Value","486","Bananas","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","225","United Arab Emirates","5922","Export Value","486","Bananas","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","225","United Arab Emirates","5922","Export Value","486","Bananas","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","225","United Arab Emirates","5922","Export Value","486","Bananas","2017","2017","1000 US$","3","","Official data"
"TM","Detailed trade matrix","10","Australia","225","United Arab Emirates","5922","Export Value","486","Bananas","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","10","Australia","225","United Arab Emirates","5922","Export Value","486","Bananas","2019","2019","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","229","United Kingdom of Great Britain and Northern Ireland","5922","Export Value","486","Bananas","2016","2016","1000 US$","5","","Official data"
"TM","Detailed trade matrix","10","Australia","237","Viet Nam","5922","Export Value","486","Bananas","2018","2018","1000 US$","1","","Official data"
"TM","Detailed trade matrix","11","Austria","255","Belgium","5922","Export Value","486","Bananas","2020","2020","1000 US$","2","","Official data"
"TM","Detailed trade matrix","11","Austria","27","Bulgaria","5922","Export Value","486","Bananas","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","27","Bulgaria","5922","Export Value","486","Bananas","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","27","Bulgaria","5922","Export Value","486","Bananas","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","27","Bulgaria","5922","Export Value","486","Bananas","2020","2020","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","98","Croatia","5922","Export Value","486","Bananas","2015","2015","1000 US$","394","","Official data"
"TM","Detailed trade matrix","11","Austria","98","Croatia","5922","Export Value","486","Bananas","2016","2016","1000 US$","375","","Official data"
"TM","Detailed trade matrix","11","Austria","98","Croatia","5922","Export Value","486","Bananas","2017","2017","1000 US$","489","","Official data"
"TM","Detailed trade matrix","11","Austria","98","Croatia","5922","Export Value","486","Bananas","2018","2018","1000 US$","472","","Official data"
"TM","Detailed trade matrix","11","Austria","98","Croatia","5922","Export Value","486","Bananas","2019","2019","1000 US$","143","","Official data"
"TM","Detailed trade matrix","11","Austria","98","Croatia","5922","Export Value","486","Bananas","2020","2020","1000 US$","107","","Official data"
"TM","Detailed trade matrix","11","Austria","167","Czechia","5922","Export Value","486","Bananas","2015","2015","1000 US$","116","","Official data"
"TM","Detailed trade matrix","11","Austria","167","Czechia","5922","Export Value","486","Bananas","2016","2016","1000 US$","105","","Official data"
"TM","Detailed trade matrix","11","Austria","167","Czechia","5922","Export Value","486","Bananas","2017","2017","1000 US$","35","","Official data"
"TM","Detailed trade matrix","11","Austria","167","Czechia","5922","Export Value","486","Bananas","2018","2018","1000 US$","80","","Official data"
"TM","Detailed trade matrix","11","Austria","167","Czechia","5922","Export Value","486","Bananas","2019","2019","1000 US$","139","","Official data"
"TM","Detailed trade matrix","11","Austria","167","Czechia","5922","Export Value","486","Bananas","2020","2020","1000 US$","153","","Official data"
"TM","Detailed trade matrix","11","Austria","63","Estonia","5922","Export Value","486","Bananas","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","68","France","5922","Export Value","486","Bananas","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","68","France","5922","Export Value","486","Bananas","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","68","France","5922","Export Value","486","Bananas","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","68","France","5922","Export Value","486","Bananas","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","68","France","5922","Export Value","486","Bananas","2020","2020","1000 US$","1","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5922","Export Value","486","Bananas","2015","2015","1000 US$","821","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5922","Export Value","486","Bananas","2016","2016","1000 US$","996","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5922","Export Value","486","Bananas","2017","2017","1000 US$","1106","","Official data"
