Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5922","Export Value","414","Beans, green","2019","2019","1000 US$","21","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","20","Botswana","5922","Export Value","414","Beans, green","2020","2020","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","132","Maldives","5922","Export Value","414","Beans, green","2019","2019","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","156","New Zealand","5922","Export Value","414","Beans, green","2015","2015","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5922","Export Value","414","Beans, green","2016","2016","1000 US$","26","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","179","Qatar","5922","Export Value","414","Beans, green","2015","2015","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","210","Sweden","5922","Export Value","414","Beans, green","2020","2020","1000 US$","3","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5922","Export Value","414","Beans, green","2020","2020","1000 US$","3","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","11","Austria","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","11","Austria","5922","Export Value","414","Beans, green","2019","2019","1000 US$","3","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","11","Austria","5922","Export Value","414","Beans, green","2020","2020","1000 US$","20","","Official data"
"TM","Detailed trade matrix","3","Albania","80","Bosnia and Herzegovina","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","27","Bulgaria","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","27","Bulgaria","5922","Export Value","414","Beans, green","2019","2019","1000 US$","4","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","98","Croatia","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","98","Croatia","5922","Export Value","414","Beans, green","2019","2019","1000 US$","12","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","167","Czechia","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5922","Export Value","414","Beans, green","2016","2016","1000 US$","152","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5922","Export Value","414","Beans, green","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","106","Italy","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","273","Montenegro","5922","Export Value","414","Beans, green","2015","2015","1000 US$","24","","Official data"
"TM","Detailed trade matrix","3","Albania","273","Montenegro","5922","Export Value","414","Beans, green","2016","2016","1000 US$","2","","Official data"
"TM","Detailed trade matrix","3","Albania","273","Montenegro","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","150","Netherlands","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","154","North Macedonia","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","173","Poland","5922","Export Value","414","Beans, green","2016","2016","1000 US$","7","","Official data"
"TM","Detailed trade matrix","3","Albania","173","Poland","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","173","Poland","5922","Export Value","414","Beans, green","2019","2019","1000 US$","9","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","146","Republic of Moldova","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","146","Republic of Moldova","5922","Export Value","414","Beans, green","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","183","Romania","5922","Export Value","414","Beans, green","2016","2016","1000 US$","7","","Official data"
"TM","Detailed trade matrix","3","Albania","183","Romania","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","183","Romania","5922","Export Value","414","Beans, green","2018","2018","1000 US$","7","","Official data"
"TM","Detailed trade matrix","3","Albania","183","Romania","5922","Export Value","414","Beans, green","2019","2019","1000 US$","54","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","272","Serbia","5922","Export Value","414","Beans, green","2015","2015","1000 US$","20","","Official data"
"TM","Detailed trade matrix","3","Albania","272","Serbia","5922","Export Value","414","Beans, green","2017","2017","1000 US$","5","","Official data"
"TM","Detailed trade matrix","3","Albania","272","Serbia","5922","Export Value","414","Beans, green","2019","2019","1000 US$","21","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","3","Albania","272","Serbia","5922","Export Value","414","Beans, green","2020","2020","1000 US$","29","","Official data"
"TM","Detailed trade matrix","3","Albania","196","Seychelles","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","198","Slovenia","5922","Export Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","198","Slovenia","5922","Export Value","414","Beans, green","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","210","Sweden","5922","Export Value","414","Beans, green","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","414","Beans, green","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","414","Beans, green","2017","2017","1000 US$","3","","Official data"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","414","Beans, green","2018","2018","1000 US$","17","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","414","Beans, green","2019","2019","1000 US$","18","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","414","Beans, green","2020","2020","1000 US$","2","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","46","Congo","5922","Export Value","414","Beans, green","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","167","Czechia","5922","Export Value","414","Beans, green","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","4","Algeria","68","France","5922","Export Value","414","Beans, green","2016","2016","1000 US$","3","","Official data"
"TM","Detailed trade matrix","4","Algeria","68","France","5922","Export Value","414","Beans, green","2017","2017","1000 US$","5","","Official data"
"TM","Detailed trade matrix","4","Algeria","68","France","5922","Export Value","414","Beans, green","2018","2018","1000 US$","10","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","68","France","5922","Export Value","414","Beans, green","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","118","Kuwait","5922","Export Value","414","Beans, green","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","174","Portugal","5922","Export Value","414","Beans, green","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","179","Qatar","5922","Export Value","414","Beans, green","2016","2016","1000 US$","2","","Official data"
"TM","Detailed trade matrix","4","Algeria","179","Qatar","5922","Export Value","414","Beans, green","2017","2017","1000 US$","8","","Official data"
"TM","Detailed trade matrix","4","Algeria","203","Spain","5922","Export Value","414","Beans, green","2017","2017","1000 US$","2","","Official data"
"TM","Detailed trade matrix","4","Algeria","225","United Arab Emirates","5922","Export Value","414","Beans, green","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","225","United Arab Emirates","5922","Export Value","414","Beans, green","2016","2016","1000 US$","11","","Official data"
