Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","33","Canada","5922","Export Value","687","Pepper (piper spp.)","2018","2018","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","33","Canada","5922","Export Value","687","Pepper (piper spp.)","2019","2019","1000 US$","12","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","59","Egypt","5922","Export Value","687","Pepper (piper spp.)","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","68","France","5922","Export Value","687","Pepper (piper spp.)","2019","2019","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","79","Germany","5922","Export Value","687","Pepper (piper spp.)","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5922","Export Value","687","Pepper (piper spp.)","2018","2018","1000 US$","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","144","Mozambique","5922","Export Value","687","Pepper (piper spp.)","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","144","Mozambique","5922","Export Value","687","Pepper (piper spp.)","2019","2019","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","144","Mozambique","5922","Export Value","687","Pepper (piper spp.)","2020","2020","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5922","Export Value","687","Pepper (piper spp.)","2016","2016","1000 US$","54","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5922","Export Value","687","Pepper (piper spp.)","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5922","Export Value","687","Pepper (piper spp.)","2018","2018","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5922","Export Value","687","Pepper (piper spp.)","2020","2020","1000 US$","8","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","210","Sweden","5922","Export Value","687","Pepper (piper spp.)","2020","2020","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","220","Trinidad and Tobago","5922","Export Value","687","Pepper (piper spp.)","2015","2015","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","223","T?rkiye","5922","Export Value","687","Pepper (piper spp.)","2015","2015","1000 US$","7","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","33","Canada","5922","Export Value","687","Pepper (piper spp.)","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","33","Canada","5922","Export Value","687","Pepper (piper spp.)","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","225","United Arab Emirates","5922","Export Value","687","Pepper (piper spp.)","2019","2019","1000 US$","6","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","231","United States of America","5922","Export Value","687","Pepper (piper spp.)","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","687","Pepper (piper spp.)","2018","2018","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","687","Pepper (piper spp.)","2019","2019","1000 US$","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","687","Pepper (piper spp.)","2020","2020","1000 US$","1","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","179","Qatar","5922","Export Value","687","Pepper (piper spp.)","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","117","Republic of Korea","5922","Export Value","687","Pepper (piper spp.)","2019","2019","1000 US$","0","*","Unofficial figure"
