Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","33","Canada","5922","Export Value","122","Sweet potatoes","2015","2015","1000 US$","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","156","New Zealand","5922","Export Value","122","Sweet potatoes","2015","2015","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","273","Montenegro","5922","Export Value","122","Sweet potatoes","2016","2016","1000 US$","4","","Official data"
"TM","Detailed trade matrix","3","Albania","272","Serbia","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","27","","Official data"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","122","Sweet potatoes","2019","2019","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","122","Sweet potatoes","2020","2020","1000 US$","1","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","225","United Arab Emirates","5922","Export Value","122","Sweet potatoes","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","225","United Arab Emirates","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","225","United Arab Emirates","5922","Export Value","122","Sweet potatoes","2018","2018","1000 US$","1","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","225","United Arab Emirates","5922","Export Value","122","Sweet potatoes","2019","2019","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","225","United Arab Emirates","5922","Export Value","122","Sweet potatoes","2020","2020","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","8","Antigua and Barbuda","231","United States of America","5922","Export Value","122","Sweet potatoes","2019","2019","1000 US$","3","","Official data"
"TM","Detailed trade matrix","9","Argentina","255","Belgium","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","2","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5922","Export Value","122","Sweet potatoes","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","12","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","122","Sweet potatoes","2015","2015","1000 US$","1","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","122","Sweet potatoes","2016","2016","1000 US$","2","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","3","","Official data"
"TM","Detailed trade matrix","9","Argentina","150","Netherlands","5922","Export Value","122","Sweet potatoes","2015","2015","1000 US$","1","","Official data"
"TM","Detailed trade matrix","9","Argentina","203","Spain","5922","Export Value","122","Sweet potatoes","2015","2015","1000 US$","18","","Official data"
"TM","Detailed trade matrix","9","Argentina","203","Spain","5922","Export Value","122","Sweet potatoes","2020","2020","1000 US$","46","","Official data"
"TM","Detailed trade matrix","9","Argentina","234","Uruguay","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","5","","Official data"
"TM","Detailed trade matrix","9","Argentina","234","Uruguay","5922","Export Value","122","Sweet potatoes","2020","2020","1000 US$","219","","Official data"
