Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5922","Export Value","15","Wheat","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","138","Mexico","5922","Export Value","15","Wheat","2015","2015","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","138","Mexico","5922","Export Value","15","Wheat","2016","2016","1000 US$","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","138","Mexico","5922","Export Value","15","Wheat","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5922","Export Value","15","Wheat","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","199","Slovakia","5922","Export Value","15","Wheat","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5922","Export Value","15","Wheat","2020","2020","1000 US$","7","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","235","Uzbekistan","5922","Export Value","15","Wheat","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","272","Serbia","5922","Export Value","15","Wheat","2016","2016","1000 US$","195","","Official data"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","15","Wheat","2015","2015","1000 US$","4","","Official data"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","15","Wheat","2018","2018","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","15","Wheat","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","33","Canada","5922","Export Value","15","Wheat","2020","2020","1000 US$","2","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","68","France","5922","Export Value","15","Wheat","2017","2017","1000 US$","14","","Official data"
"TM","Detailed trade matrix","4","Algeria","106","Italy","5922","Export Value","15","Wheat","2018","2018","1000 US$","12","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","117","Republic of Korea","5922","Export Value","15","Wheat","2018","2018","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","211","Switzerland","5922","Export Value","15","Wheat","2018","2018","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","211","Switzerland","5922","Export Value","15","Wheat","2020","2020","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","229","United Kingdom of Great Britain and Northern Ireland","5922","Export Value","15","Wheat","2018","2018","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","9","Argentina","4","Algeria","5922","Export Value","15","Wheat","2016","2016","1000 US$","26259","","Official data"
"TM","Detailed trade matrix","9","Argentina","4","Algeria","5922","Export Value","15","Wheat","2017","2017","1000 US$","323061","","Official data"
"TM","Detailed trade matrix","9","Argentina","4","Algeria","5922","Export Value","15","Wheat","2018","2018","1000 US$","245643","","Official data"
"TM","Detailed trade matrix","9","Argentina","4","Algeria","5922","Export Value","15","Wheat","2019","2019","1000 US$","50593","","Official data"
"TM","Detailed trade matrix","9","Argentina","16","Bangladesh","5922","Export Value","15","Wheat","2015","2015","1000 US$","16896","","Official data"
"TM","Detailed trade matrix","9","Argentina","16","Bangladesh","5922","Export Value","15","Wheat","2016","2016","1000 US$","57831","","Official data"
"TM","Detailed trade matrix","9","Argentina","16","Bangladesh","5922","Export Value","15","Wheat","2017","2017","1000 US$","122325","","Official data"
"TM","Detailed trade matrix","9","Argentina","16","Bangladesh","5922","Export Value","15","Wheat","2018","2018","1000 US$","43391","","Official data"
"TM","Detailed trade matrix","9","Argentina","16","Bangladesh","5922","Export Value","15","Wheat","2019","2019","1000 US$","72967","","Official data"
"TM","Detailed trade matrix","9","Argentina","16","Bangladesh","5922","Export Value","15","Wheat","2020","2020","1000 US$","117713","","Official data"
"TM","Detailed trade matrix","9","Argentina","255","Belgium","5922","Export Value","15","Wheat","2015","2015","1000 US$","412","","Official data"
"TM","Detailed trade matrix","9","Argentina","19","Bolivia (Plurinational State of)","5922","Export Value","15","Wheat","2015","2015","1000 US$","184","","Official data"
"TM","Detailed trade matrix","9","Argentina","19","Bolivia (Plurinational State of)","5922","Export Value","15","Wheat","2016","2016","1000 US$","6732","","Official data"
"TM","Detailed trade matrix","9","Argentina","19","Bolivia (Plurinational State of)","5922","Export Value","15","Wheat","2017","2017","1000 US$","24256","","Official data"
"TM","Detailed trade matrix","9","Argentina","19","Bolivia (Plurinational State of)","5922","Export Value","15","Wheat","2018","2018","1000 US$","12834","","Official data"
"TM","Detailed trade matrix","9","Argentina","19","Bolivia (Plurinational State of)","5922","Export Value","15","Wheat","2019","2019","1000 US$","10715","","Official data"
"TM","Detailed trade matrix","9","Argentina","19","Bolivia (Plurinational State of)","5922","Export Value","15","Wheat","2020","2020","1000 US$","17118","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5922","Export Value","15","Wheat","2015","2015","1000 US$","868856","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5922","Export Value","15","Wheat","2016","2016","1000 US$","784076","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5922","Export Value","15","Wheat","2017","2017","1000 US$","959490","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5922","Export Value","15","Wheat","2018","2018","1000 US$","1307723","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5922","Export Value","15","Wheat","2019","2019","1000 US$","1165890","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5922","Export Value","15","Wheat","2020","2020","1000 US$","898087","","Official data"
"TM","Detailed trade matrix","9","Argentina","233","Burkina Faso","5922","Export Value","15","Wheat","2017","2017","1000 US$","3083","","Official data"
"TM","Detailed trade matrix","9","Argentina","29","Burundi","5922","Export Value","15","Wheat","2016","2016","1000 US$","356","","Official data"
"TM","Detailed trade matrix","9","Argentina","29","Burundi","5922","Export Value","15","Wheat","2017","2017","1000 US$","3484","","Official data"
"TM","Detailed trade matrix","9","Argentina","32","Cameroon","5922","Export Value","15","Wheat","2017","2017","1000 US$","7186","","Official data"
"TM","Detailed trade matrix","9","Argentina","33","Canada","5922","Export Value","15","Wheat","2015","2015","1000 US$","2135","","Official data"
"TM","Detailed trade matrix","9","Argentina","33","Canada","5922","Export Value","15","Wheat","2016","2016","1000 US$","518","","Official data"
"TM","Detailed trade matrix","9","Argentina","33","Canada","5922","Export Value","15","Wheat","2017","2017","1000 US$","754","","Official data"
"TM","Detailed trade matrix","9","Argentina","33","Canada","5922","Export Value","15","Wheat","2018","2018","1000 US$","2934","","Official data"
"TM","Detailed trade matrix","9","Argentina","33","Canada","5922","Export Value","15","Wheat","2019","2019","1000 US$","2624","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","15","Wheat","2015","2015","1000 US$","41296","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","15","Wheat","2016","2016","1000 US$","44908","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","15","Wheat","2017","2017","1000 US$","157015","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","15","Wheat","2018","2018","1000 US$","125273","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","15","Wheat","2019","2019","1000 US$","92989","","Official data"
"TM","Detailed trade matrix","9","Argentina","40","Chile","5922","Export Value","15","Wheat","2020","2020","1000 US$","66258","","Official data"
"TM","Detailed trade matrix","9","Argentina","214","China, Taiwan Province of","5922","Export Value","15","Wheat","2016","2016","1000 US$","155","","Official data"
"TM","Detailed trade matrix","9","Argentina","44","Colombia","5922","Export Value","15","Wheat","2015","2015","1000 US$","4775","","Official data"
"TM","Detailed trade matrix","9","Argentina","44","Colombia","5922","Export Value","15","Wheat","2016","2016","1000 US$","26118","","Official data"
"TM","Detailed trade matrix","9","Argentina","44","Colombia","5922","Export Value","15","Wheat","2017","2017","1000 US$","19172","","Official data"
"TM","Detailed trade matrix","9","Argentina","46","Congo","5922","Export Value","15","Wheat","2015","2015","1000 US$","2248","","Official data"
"TM","Detailed trade matrix","9","Argentina","46","Congo","5922","Export Value","15","Wheat","2017","2017","1000 US$","1269","","Official data"
"TM","Detailed trade matrix","9","Argentina","107","C?te d'Ivoire","5922","Export Value","15","Wheat","2017","2017","1000 US$","11933","","Official data"
"TM","Detailed trade matrix","9","Argentina","107","C?te d'Ivoire","5922","Export Value","15","Wheat","2018","2018","1000 US$","8275","","Official data"
"TM","Detailed trade matrix","9","Argentina","250","Democratic Republic of the Congo","5922","Export Value","15","Wheat","2017","2017","1000 US$","1783","","Official data"
"TM","Detailed trade matrix","9","Argentina","58","Ecuador","5922","Export Value","15","Wheat","2015","2015","1000 US$","2915","","Official data"
"TM","Detailed trade matrix","9","Argentina","58","Ecuador","5922","Export Value","15","Wheat","2016","2016","1000 US$","24590","","Official data"
"TM","Detailed trade matrix","9","Argentina","58","Ecuador","5922","Export Value","15","Wheat","2017","2017","1000 US$","47788","","Official data"
"TM","Detailed trade matrix","9","Argentina","58","Ecuador","5922","Export Value","15","Wheat","2018","2018","1000 US$","26976","","Official data"
"TM","Detailed trade matrix","9","Argentina","58","Ecuador","5922","Export Value","15","Wheat","2019","2019","1000 US$","18946","","Official data"
"TM","Detailed trade matrix","9","Argentina","58","Ecuador","5922","Export Value","15","Wheat","2020","2020","1000 US$","10173","","Official data"
"TM","Detailed trade matrix","9","Argentina","59","Egypt","5922","Export Value","15","Wheat","2016","2016","1000 US$","35113","","Official data"
"TM","Detailed trade matrix","9","Argentina","59","Egypt","5922","Export Value","15","Wheat","2017","2017","1000 US$","22737","","Official data"
"TM","Detailed trade matrix","9","Argentina","238","Ethiopia","5922","Export Value","15","Wheat","2020","2020","1000 US$","52969","","Official data"
"TM","Detailed trade matrix","9","Argentina","68","France","5922","Export Value","15","Wheat","2016","2016","1000 US$","240","","Official data"
"TM","Detailed trade matrix","9","Argentina","68","France","5922","Export Value","15","Wheat","2017","2017","1000 US$","633","","Official data"
"TM","Detailed trade matrix","9","Argentina","74","Gabon","5922","Export Value","15","Wheat","2017","2017","1000 US$","2860","","Official data"
"TM","Detailed trade matrix","9","Argentina","75","Gambia","5922","Export Value","15","Wheat","2017","2017","1000 US$","4060","","Official data"
"TM","Detailed trade matrix","9","Argentina","81","Ghana","5922","Export Value","15","Wheat","2016","2016","1000 US$","1011","","Official data"
"TM","Detailed trade matrix","9","Argentina","81","Ghana","5922","Export Value","15","Wheat","2017","2017","1000 US$","474","","Official data"
"TM","Detailed trade matrix","9","Argentina","81","Ghana","5922","Export Value","15","Wheat","2020","2020","1000 US$","3456","","Official data"
"TM","Detailed trade matrix","9","Argentina","101","Indonesia","5922","Export Value","15","Wheat","2016","2016","1000 US$","249342","","Official data"
"TM","Detailed trade matrix","9","Argentina","101","Indonesia","5922","Export Value","15","Wheat","2017","2017","1000 US$","35230","","Official data"
"TM","Detailed trade matrix","9","Argentina","101","Indonesia","5922","Export Value","15","Wheat","2018","2018","1000 US$","170611","","Official data"
"TM","Detailed trade matrix","9","Argentina","101","Indonesia","5922","Export Value","15","Wheat","2019","2019","1000 US$","436754","","Official data"
"TM","Detailed trade matrix","9","Argentina","101","Indonesia","5922","Export Value","15","Wheat","2020","2020","1000 US$","455436","","Official data"
"TM","Detailed trade matrix","9","Argentina","106","Italy","5922","Export Value","15","Wheat","2015","2015","1000 US$","10695","","Official data"
"TM","Detailed trade matrix","9","Argentina","106","Italy","5922","Export Value","15","Wheat","2016","2016","1000 US$","24174","","Official data"
"TM","Detailed trade matrix","9","Argentina","114","Kenya","5922","Export Value","15","Wheat","2015","2015","1000 US$","9672","","Official data"
"TM","Detailed trade matrix","9","Argentina","114","Kenya","5922","Export Value","15","Wheat","2016","2016","1000 US$","15898","","Official data"
"TM","Detailed trade matrix","9","Argentina","114","Kenya","5922","Export Value","15","Wheat","2017","2017","1000 US$","73939","","Official data"
"TM","Detailed trade matrix","9","Argentina","114","Kenya","5922","Export Value","15","Wheat","2018","2018","1000 US$","82211","","Official data"
"TM","Detailed trade matrix","9","Argentina","114","Kenya","5922","Export Value","15","Wheat","2019","2019","1000 US$","103195","","Official data"
"TM","Detailed trade matrix","9","Argentina","114","Kenya","5922","Export Value","15","Wheat","2020","2020","1000 US$","116578","","Official data"
"TM","Detailed trade matrix","9","Argentina","129","Madagascar","5922","Export Value","15","Wheat","2015","2015","1000 US$","4079","","Official data"
"TM","Detailed trade matrix","9","Argentina","129","Madagascar","5922","Export Value","15","Wheat","2016","2016","1000 US$","2056","","Official data"
"TM","Detailed trade matrix","9","Argentina","130","Malawi","5922","Export Value","15","Wheat","2016","2016","1000 US$","5162","","Official data"
"TM","Detailed trade matrix","9","Argentina","130","Malawi","5922","Export Value","15","Wheat","2017","2017","1000 US$","2773","","Official data"
"TM","Detailed trade matrix","9","Argentina","131","Malaysia","5922","Export Value","15","Wheat","2016","2016","1000 US$","1332","","Official data"
"TM","Detailed trade matrix","9","Argentina","131","Malaysia","5922","Export Value","15","Wheat","2017","2017","1000 US$","2778","","Official data"
"TM","Detailed trade matrix","9","Argentina","131","Malaysia","5922","Export Value","15","Wheat","2019","2019","1000 US$","10029","","Official data"
"TM","Detailed trade matrix","9","Argentina","133","Mali","5922","Export Value","15","Wheat","2017","2017","1000 US$","12056","","Official data"
"TM","Detailed trade matrix","9","Argentina","133","Mali","5922","Export Value","15","Wheat","2018","2018","1000 US$","3777","","Official data"
"TM","Detailed trade matrix","9","Argentina","134","Malta","5922","Export Value","15","Wheat","2015","2015","1000 US$","6038","","Official data"
"TM","Detailed trade matrix","9","Argentina","136","Mauritania","5922","Export Value","15","Wheat","2016","2016","1000 US$","4593","","Official data"
"TM","Detailed trade matrix","9","Argentina","136","Mauritania","5922","Export Value","15","Wheat","2017","2017","1000 US$","4690","","Official data"
"TM","Detailed trade matrix","9","Argentina","136","Mauritania","5922","Export Value","15","Wheat","2018","2018","1000 US$","29610","","Official data"
"TM","Detailed trade matrix","9","Argentina","137","Mauritius","5922","Export Value","15","Wheat","2017","2017","1000 US$","2178","","Official data"
"TM","Detailed trade matrix","9","Argentina","138","Mexico","5922","Export Value","15","Wheat","2017","2017","1000 US$","6011","","Official data"
"TM","Detailed trade matrix","9","Argentina","143","Morocco","5922","Export Value","15","Wheat","2016","2016","1000 US$","27272","","Official data"
"TM","Detailed trade matrix","9","Argentina","143","Morocco","5922","Export Value","15","Wheat","2017","2017","1000 US$","34631","","Official data"
"TM","Detailed trade matrix","9","Argentina","143","Morocco","5922","Export Value","15","Wheat","2018","2018","1000 US$","34579","","Official data"
"TM","Detailed trade matrix","9","Argentina","143","Morocco","5922","Export Value","15","Wheat","2019","2019","1000 US$","19801","","Official data"
"TM","Detailed trade matrix","9","Argentina","144","Mozambique","5922","Export Value","15","Wheat","2015","2015","1000 US$","1375","","Official data"
"TM","Detailed trade matrix","9","Argentina","144","Mozambique","5922","Export Value","15","Wheat","2016","2016","1000 US$","9010","","Official data"
"TM","Detailed trade matrix","9","Argentina","150","Netherlands","5922","Export Value","15","Wheat","2015","2015","1000 US$","6520","","Official data"
"TM","Detailed trade matrix","9","Argentina","150","Netherlands","5922","Export Value","15","Wheat","2016","2016","1000 US$","998","","Official data"
"TM","Detailed trade matrix","9","Argentina","150","Netherlands","5922","Export Value","15","Wheat","2017","2017","1000 US$","3491","","Official data"
"TM","Detailed trade matrix","9","Argentina","150","Netherlands","5922","Export Value","15","Wheat","2018","2018","1000 US$","1762","","Official data"
"TM","Detailed trade matrix","9","Argentina","150","Netherlands","5922","Export Value","15","Wheat","2019","2019","1000 US$","1356","","Official data"
"TM","Detailed trade matrix","9","Argentina","156","New Zealand","5922","Export Value","15","Wheat","2016","2016","1000 US$","99","","Official data"
"TM","Detailed trade matrix","9","Argentina","156","New Zealand","5922","Export Value","15","Wheat","2017","2017","1000 US$","12113","","Official data"
"TM","Detailed trade matrix","9","Argentina","159","Nigeria","5922","Export Value","15","Wheat","2015","2015","1000 US$","10281","","Official data"
"TM","Detailed trade matrix","9","Argentina","159","Nigeria","5922","Export Value","15","Wheat","2016","2016","1000 US$","11296","","Official data"
"TM","Detailed trade matrix","9","Argentina","159","Nigeria","5922","Export Value","15","Wheat","2017","2017","1000 US$","17994","","Official data"
"TM","Detailed trade matrix","9","Argentina","159","Nigeria","5922","Export Value","15","Wheat","2018","2018","1000 US$","47410","","Official data"
"TM","Detailed trade matrix","9","Argentina","159","Nigeria","5922","Export Value","15","Wheat","2019","2019","1000 US$","69241","","Official data"
"TM","Detailed trade matrix","9","Argentina","159","Nigeria","5922","Export Value","15","Wheat","2020","2020","1000 US$","38509","","Official data"
"TM","Detailed trade matrix","9","Argentina","221","Oman","5922","Export Value","15","Wheat","2016","2016","1000 US$","9302","","Official data"
"TM","Detailed trade matrix","9","Argentina","221","Oman","5922","Export Value","15","Wheat","2017","2017","1000 US$","22399","","Official data"
"TM","Detailed trade matrix","9","Argentina","169","Paraguay","5922","Export Value","15","Wheat","2017","2017","1000 US$","568","","Official data"
"TM","Detailed trade matrix","9","Argentina","170","Peru","5922","Export Value","15","Wheat","2015","2015","1000 US$","2025","","Official data"
"TM","Detailed trade matrix","9","Argentina","170","Peru","5922","Export Value","15","Wheat","2016","2016","1000 US$","1072","","Official data"
"TM","Detailed trade matrix","9","Argentina","170","Peru","5922","Export Value","15","Wheat","2017","2017","1000 US$","44437","","Official data"
"TM","Detailed trade matrix","9","Argentina","170","Peru","5922","Export Value","15","Wheat","2018","2018","1000 US$","94174","","Official data"
"TM","Detailed trade matrix","9","Argentina","170","Peru","5922","Export Value","15","Wheat","2019","2019","1000 US$","57591","","Official data"
"TM","Detailed trade matrix","9","Argentina","170","Peru","5922","Export Value","15","Wheat","2020","2020","1000 US$","47193","","Official data"
"TM","Detailed trade matrix","9","Argentina","171","Philippines","5922","Export Value","15","Wheat","2015","2015","1000 US$","459","","Official data"
"TM","Detailed trade matrix","9","Argentina","171","Philippines","5922","Export Value","15","Wheat","2016","2016","1000 US$","50690","","Official data"
"TM","Detailed trade matrix","9","Argentina","171","Philippines","5922","Export Value","15","Wheat","2020","2020","1000 US$","20558","","Official data"
"TM","Detailed trade matrix","9","Argentina","117","Republic of Korea","5922","Export Value","15","Wheat","2015","2015","1000 US$","78","","Official data"
"TM","Detailed trade matrix","9","Argentina","117","Republic of Korea","5922","Export Value","15","Wheat","2016","2016","1000 US$","93085","","Official data"
"TM","Detailed trade matrix","9","Argentina","184","Rwanda","5922","Export Value","15","Wheat","2016","2016","1000 US$","1478","","Official data"
"TM","Detailed trade matrix","9","Argentina","184","Rwanda","5922","Export Value","15","Wheat","2017","2017","1000 US$","7239","","Official data"
"TM","Detailed trade matrix","9","Argentina","194","Saudi Arabia","5922","Export Value","15","Wheat","2015","2015","1000 US$","15030","","Official data"
"TM","Detailed trade matrix","9","Argentina","195","Senegal","5922","Export Value","15","Wheat","2017","2017","1000 US$","21753","","Official data"
"TM","Detailed trade matrix","9","Argentina","195","Senegal","5922","Export Value","15","Wheat","2018","2018","1000 US$","11870","","Official data"
"TM","Detailed trade matrix","9","Argentina","202","South Africa","5922","Export Value","15","Wheat","2015","2015","1000 US$","16187","","Official data"
"TM","Detailed trade matrix","9","Argentina","202","South Africa","5922","Export Value","15","Wheat","2016","2016","1000 US$","17169","","Official data"
"TM","Detailed trade matrix","9","Argentina","202","South Africa","5922","Export Value","15","Wheat","2017","2017","1000 US$","17370","","Official data"
"TM","Detailed trade matrix","9","Argentina","202","South Africa","5922","Export Value","15","Wheat","2018","2018","1000 US$","18167","","Official data"
