Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","114","Kenya","5622","Import Value","572","Avocados","2019","2019","1000 US$","17","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","114","Kenya","5622","Import Value","572","Avocados","2020","2020","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","149","Nepal","5622","Import Value","572","Avocados","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","149","Nepal","5622","Import Value","572","Avocados","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","572","Avocados","2017","2017","1000 US$","1596","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","572","Avocados","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","572","Avocados","2015","2015","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","572","Avocados","2016","2016","1000 US$","4","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","572","Avocados","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","572","Avocados","2018","2018","1000 US$","249","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","572","Avocados","2019","2019","1000 US$","356","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","572","Avocados","2015","2015","1000 US$","95","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","572","Avocados","2016","2016","1000 US$","137","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","572","Avocados","2017","2017","1000 US$","170","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","572","Avocados","2018","2018","1000 US$","338","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","572","Avocados","2019","2019","1000 US$","375","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","572","Avocados","2020","2020","1000 US$","506","","Official data"
"TM","Detailed trade matrix","3","Albania","170","Peru","5622","Import Value","572","Avocados","2015","2015","1000 US$","5","","Official data"
"TM","Detailed trade matrix","3","Albania","170","Peru","5622","Import Value","572","Avocados","2017","2017","1000 US$","12","","Official data"
"TM","Detailed trade matrix","3","Albania","170","Peru","5622","Import Value","572","Avocados","2018","2018","1000 US$","7","","Official data"
"TM","Detailed trade matrix","3","Albania","170","Peru","5622","Import Value","572","Avocados","2020","2020","1000 US$","33","","Official data"
"TM","Detailed trade matrix","3","Albania","194","Saudi Arabia","5622","Import Value","572","Avocados","2020","2020","1000 US$","96","","Official data"
"TM","Detailed trade matrix","3","Albania","202","South Africa","5622","Import Value","572","Avocados","2015","2015","1000 US$","6","","Official data"
"TM","Detailed trade matrix","3","Albania","202","South Africa","5622","Import Value","572","Avocados","2018","2018","1000 US$","27","","Official data"
