Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","41","China, mainland","5622","Import Value","486","Bananas","2015","2015","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","41","China, mainland","5622","Import Value","486","Bananas","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","486","Bananas","2015","2015","1000 US$","7","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","486","Bananas","2016","2016","1000 US$","12","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","486","Bananas","2017","2017","1000 US$","257","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","486","Bananas","2018","2018","1000 US$","1651","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","486","Bananas","2019","2019","1000 US$","2079","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","486","Bananas","2020","2020","1000 US$","3072","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","486","Bananas","2015","2015","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","486","Bananas","2017","2017","1000 US$","2801","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","486","Bananas","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","144","Mozambique","5622","Import Value","486","Bananas","2020","2020","1000 US$","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","149","Nepal","5622","Import Value","486","Bananas","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","149","Nepal","5622","Import Value","486","Bananas","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","486","Bananas","2015","2015","1000 US$","23110","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","486","Bananas","2016","2016","1000 US$","25269","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","486","Bananas","2017","2017","1000 US$","10663","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","486","Bananas","2018","2018","1000 US$","24029","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","486","Bananas","2019","2019","1000 US$","35869","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","486","Bananas","2020","2020","1000 US$","23529","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","170","Peru","5622","Import Value","486","Bananas","2018","2018","1000 US$","14","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","171","Philippines","5622","Import Value","486","Bananas","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","171","Philippines","5622","Import Value","486","Bananas","2019","2019","1000 US$","51","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","171","Philippines","5622","Import Value","486","Bananas","2020","2020","1000 US$","60","R","Estimated data using trading partners database"
