Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","661","Cocoa, beans","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","223","T?rkiye","5622","Import Value","661","Cocoa, beans","2020","2020","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","255","Belgium","5622","Import Value","661","Cocoa, beans","2019","2019","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","198","Slovenia","5622","Import Value","661","Cocoa, beans","2019","2019","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","255","Belgium","5622","Import Value","661","Cocoa, beans","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","255","Belgium","5622","Import Value","661","Cocoa, beans","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","4","Algeria","255","Belgium","5622","Import Value","661","Cocoa, beans","2020","2020","1000 US$","3","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","44","Colombia","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","267","","Official data"
"TM","Detailed trade matrix","4","Algeria","107","C?te d'Ivoire","5622","Import Value","661","Cocoa, beans","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","4","Algeria","58","Ecuador","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","1351","","Official data"
"TM","Detailed trade matrix","4","Algeria","58","Ecuador","5622","Import Value","661","Cocoa, beans","2016","2016","1000 US$","625","","Official data"
"TM","Detailed trade matrix","4","Algeria","58","Ecuador","5622","Import Value","661","Cocoa, beans","2017","2017","1000 US$","987","","Official data"
"TM","Detailed trade matrix","4","Algeria","93","Haiti","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","1735","","Official data"
"TM","Detailed trade matrix","4","Algeria","93","Haiti","5622","Import Value","661","Cocoa, beans","2016","2016","1000 US$","6875","","Official data"
"TM","Detailed trade matrix","4","Algeria","93","Haiti","5622","Import Value","661","Cocoa, beans","2017","2017","1000 US$","1009","","Official data"
"TM","Detailed trade matrix","4","Algeria","129","Madagascar","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","142","","Official data"
"TM","Detailed trade matrix","4","Algeria","129","Madagascar","5622","Import Value","661","Cocoa, beans","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","4","Algeria","129","Madagascar","5622","Import Value","661","Cocoa, beans","2020","2020","1000 US$","498","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","150","Netherlands","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","1","","Official data"
"TM","Detailed trade matrix","4","Algeria","170","Peru","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","274","","Official data"
"TM","Detailed trade matrix","4","Algeria","170","Peru","5622","Import Value","661","Cocoa, beans","2017","2017","1000 US$","1415","","Official data"
"TM","Detailed trade matrix","4","Algeria","170","Peru","5622","Import Value","661","Cocoa, beans","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","4","Algeria","170","Peru","5622","Import Value","661","Cocoa, beans","2020","2020","1000 US$","2720","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","226","Uganda","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","573","","Official data"
"TM","Detailed trade matrix","4","Algeria","226","Uganda","5622","Import Value","661","Cocoa, beans","2017","2017","1000 US$","1015","","Official data"
"TM","Detailed trade matrix","4","Algeria","215","United Republic of Tanzania","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","1471","","Official data"
"TM","Detailed trade matrix","4","Algeria","215","United Republic of Tanzania","5622","Import Value","661","Cocoa, beans","2017","2017","1000 US$","223","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","55","Dominica","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","55","Dominica","5622","Import Value","661","Cocoa, beans","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","86","Grenada","5622","Import Value","661","Cocoa, beans","2015","2015","1000 US$","2","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","86","Grenada","5622","Import Value","661","Cocoa, beans","2016","2016","1000 US$","1","","Official data"
