Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","56","Dominican Republic","5622","Import Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","414","Beans, green","2016","2016","1000 US$","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","414","Beans, green","2016","2016","1000 US$","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","114","Kenya","5622","Import Value","414","Beans, green","2018","2018","1000 US$","23","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","114","Kenya","5622","Import Value","414","Beans, green","2019","2019","1000 US$","9","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","114","Kenya","5622","Import Value","414","Beans, green","2020","2020","1000 US$","26","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","113","Kyrgyzstan","5622","Import Value","414","Beans, green","2016","2016","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","208","Tajikistan","5622","Import Value","414","Beans, green","2016","2016","1000 US$","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","414","Beans, green","2015","2015","1000 US$","9","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","414","Beans, green","2016","2016","1000 US$","19","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","414","Beans, green","2018","2018","1000 US$","33","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","414","Beans, green","2019","2019","1000 US$","27","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","414","Beans, green","2020","2020","1000 US$","5","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","414","Beans, green","2015","2015","1000 US$","5","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","414","Beans, green","2019","2019","1000 US$","6","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","106","Italy","5622","Import Value","414","Beans, green","2017","2017","1000 US$","","","Official data"
