Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","109","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","144","Mozambique","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","4","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","213","Turkmenistan","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","11","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","213","Turkmenistan","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","235","Uzbekistan","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","25","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","235","Uzbekistan","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","4","Algeria","41","China, mainland","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","4","Algeria","84","Greece","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","8","","Official data"
"TM","Detailed trade matrix","4","Algeria","84","Greece","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","50","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","84","Greece","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","87","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","84","Greece","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","61","*","Unofficial figure"
"TM","Detailed trade matrix","4","Algeria","100","India","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","56","","Official data"
"TM","Detailed trade matrix","4","Algeria","159","Nigeria","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","119","","Official data"
"TM","Detailed trade matrix","4","Algeria","203","Spain","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","30","*","Unofficial figure"
"TM","Detailed trade matrix","8","Antigua and Barbuda","91","Guyana","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","1","","Official data"
"TM","Detailed trade matrix","9","Argentina","21","Brazil","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","1","","Official data"
"TM","Detailed trade matrix","9","Argentina","231","United States of America","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","1","","Official data"
"TM","Detailed trade matrix","9","Argentina","231","United States of America","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","9","Argentina","231","United States of America","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","1","","Official data"
"TM","Detailed trade matrix","1","Armenia","41","China, mainland","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","4","","Official data"
"TM","Detailed trade matrix","1","Armenia","41","China, mainland","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","10","","Official data"
"TM","Detailed trade matrix","1","Armenia","185","Russian Federation","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","1","","Official data"
"TM","Detailed trade matrix","1","Armenia","223","T?rkiye","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","110","","Official data"
"TM","Detailed trade matrix","10","Australia","68","France","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","101","Indonesia","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","3","","Official data"
"TM","Detailed trade matrix","10","Australia","231","United States of America","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","2","","Official data"
"TM","Detailed trade matrix","10","Australia","231","United States of America","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","21","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","20","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","9","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","14","","Official data"
"TM","Detailed trade matrix","11","Austria","79","Germany","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","19","","Official data"
"TM","Detailed trade matrix","52","Azerbaijan","79","Germany","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","","","Official data"
"TM","Detailed trade matrix","52","Azerbaijan","79","Germany","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","","","Official data"
"TM","Detailed trade matrix","52","Azerbaijan","84","Greece","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","52","Azerbaijan","84","Greece","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","35","*","Unofficial figure"
"TM","Detailed trade matrix","52","Azerbaijan","84","Greece","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","136","","Official data"
"TM","Detailed trade matrix","52","Azerbaijan","84","Greece","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","103","","Official data"
"TM","Detailed trade matrix","52","Azerbaijan","150","Netherlands","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","6","*","Unofficial figure"
"TM","Detailed trade matrix","52","Azerbaijan","223","T?rkiye","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","953","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","52","Azerbaijan","223","T?rkiye","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","2876","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","52","Azerbaijan","223","T?rkiye","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","6848","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","52","Azerbaijan","223","T?rkiye","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","6240","","Official data"
"TM","Detailed trade matrix","52","Azerbaijan","223","T?rkiye","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","5519","","Official data"
"TM","Detailed trade matrix","52","Azerbaijan","223","T?rkiye","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","6961","","Official data"
"TM","Detailed trade matrix","12","Bahamas","231","United States of America","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","5","","Official data"
"TM","Detailed trade matrix","13","Bahrain","9","Argentina","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","64","","Official data"
"TM","Detailed trade matrix","13","Bahrain","10","Australia","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","10","Australia","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","16","Bangladesh","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","21","Brazil","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","27","Bulgaria","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","33","Canada","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","41","China, mainland","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","72","","Official data"
"TM","Detailed trade matrix","13","Bahrain","41","China, mainland","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","41","China, mainland","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","41","China, mainland","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","41","China, mainland","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","36","","Official data"
"TM","Detailed trade matrix","13","Bahrain","214","China, Taiwan Province of","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","59","Egypt","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","59","Egypt","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","68","France","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","79","Germany","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","3","","Official data"
"TM","Detailed trade matrix","13","Bahrain","100","India","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","27","","Official data"
"TM","Detailed trade matrix","13","Bahrain","100","India","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","100","India","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","4","","Official data"
"TM","Detailed trade matrix","13","Bahrain","100","India","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","100","India","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","100","India","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","9","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","13","Bahrain","106","Italy","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","4","","Official data"
"TM","Detailed trade matrix","13","Bahrain","106","Italy","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","5","","Official data"
"TM","Detailed trade matrix","13","Bahrain","121","Lebanon","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","121","Lebanon","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","138","Mexico","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","5","","Official data"
"TM","Detailed trade matrix","13","Bahrain","169","Paraguay","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","170","Peru","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","170","Peru","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","194","Saudi Arabia","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","199","Slovakia","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","38","Sri Lanka","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","216","Thailand","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","216","Thailand","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","216","Thailand","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","216","Thailand","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","223","T?rkiye","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","225","United Arab Emirates","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","8","","Official data"
"TM","Detailed trade matrix","13","Bahrain","225","United Arab Emirates","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","225","United Arab Emirates","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","225","United Arab Emirates","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","","","Official data"
"TM","Detailed trade matrix","13","Bahrain","229","United Kingdom of Great Britain and Northern Ireland","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","13","Bahrain","229","United Kingdom of Great Britain and Northern Ireland","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","13","Bahrain","231","United States of America","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","121","","Official data"
"TM","Detailed trade matrix","13","Bahrain","231","United States of America","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","8","","Official data"
"TM","Detailed trade matrix","13","Bahrain","231","United States of America","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","12","","Official data"
"TM","Detailed trade matrix","13","Bahrain","231","United States of America","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","2","","Official data"
"TM","Detailed trade matrix","13","Bahrain","231","United States of America","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","16","Bangladesh","41","China, mainland","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","24","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","16","Bangladesh","41","China, mainland","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","63","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","16","Bangladesh","41","China, mainland","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","50","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","16","Bangladesh","41","China, mainland","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","16","Bangladesh","41","China, mainland","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","88","*","Unofficial figure"
"TM","Detailed trade matrix","16","Bangladesh","100","India","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","16","Bangladesh","100","India","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","7","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","16","Bangladesh","110","Japan","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","0","","Official data"
"TM","Detailed trade matrix","16","Bangladesh","28","Myanmar","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","16","Bangladesh","28","Myanmar","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","36","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","16","Bangladesh","28","Myanmar","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","16","Bangladesh","226","Uganda","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","360","*","Unofficial figure"
"TM","Detailed trade matrix","16","Bangladesh","231","United States of America","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","127","*","Unofficial figure"
"TM","Detailed trade matrix","16","Bangladesh","231","United States of America","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","258","*","Unofficial figure"
"TM","Detailed trade matrix","14","Barbados","8","Antigua and Barbuda","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","2","","Official data"
"TM","Detailed trade matrix","14","Barbados","231","United States of America","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","0","","Official data"
"TM","Detailed trade matrix","14","Barbados","231","United States of America","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","0","","Official data"
"TM","Detailed trade matrix","57","Belarus","185","Russian Federation","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","57","Belarus","185","Russian Federation","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","0","","Official data"
"TM","Detailed trade matrix","255","Belgium","9","Argentina","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","255","Belgium","9","Argentina","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","255","Belgium","40","Chile","5622","Import Value","329","Cottonseed","2015","2015","1000 US$","19","","Official data"
"TM","Detailed trade matrix","255","Belgium","40","Chile","5622","Import Value","329","Cottonseed","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","255","Belgium","40","Chile","5622","Import Value","329","Cottonseed","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","255","Belgium","40","Chile","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","9","","Official data"
"TM","Detailed trade matrix","255","Belgium","40","Chile","5622","Import Value","329","Cottonseed","2019","2019","1000 US$","14","","Official data"
"TM","Detailed trade matrix","255","Belgium","40","Chile","5622","Import Value","329","Cottonseed","2020","2020","1000 US$","22","","Official data"
"TM","Detailed trade matrix","255","Belgium","68","France","5622","Import Value","329","Cottonseed","2018","2018","1000 US$","4","","Official data"
