Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","9","Argentina","5622","Import Value","56","Maize","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","21","Brazil","5622","Import Value","56","Maize","2018","2018","1000 US$","2528","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","21","Brazil","5622","Import Value","56","Maize","2019","2019","1000 US$","135","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","68","France","5622","Import Value","56","Maize","2018","2018","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","56","Maize","2017","2017","1000 US$","411","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","56","Maize","2017","2017","1000 US$","33","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","56","Maize","2015","2015","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","56","Maize","2016","2016","1000 US$","42","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","56","Maize","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","56","Maize","2018","2018","1000 US$","122","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","56","Maize","2015","2015","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","56","Maize","2016","2016","1000 US$","1799","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","56","Maize","2017","2017","1000 US$","464","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","56","Maize","2018","2018","1000 US$","333","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","56","Maize","2019","2019","1000 US$","3168","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","208","Tajikistan","5622","Import Value","56","Maize","2016","2016","1000 US$","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","208","Tajikistan","5622","Import Value","56","Maize","2018","2018","1000 US$","5","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","208","Tajikistan","5622","Import Value","56","Maize","2019","2019","1000 US$","8","*","Unofficial figure"
