Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","255","Belgium","5622","Import Value","116","Potatoes","2017","2017","1000 US$","58","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","255","Belgium","5622","Import Value","116","Potatoes","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","54","Denmark","5622","Import Value","116","Potatoes","2017","2017","1000 US$","46","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","54","Denmark","5622","Import Value","116","Potatoes","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","67","Finland","5622","Import Value","116","Potatoes","2015","2015","1000 US$","10","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","68","France","5622","Import Value","116","Potatoes","2015","2015","1000 US$","29","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","68","France","5622","Import Value","116","Potatoes","2016","2016","1000 US$","34","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","79","Germany","5622","Import Value","116","Potatoes","2015","2015","1000 US$","15","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","97","Hungary","5622","Import Value","116","Potatoes","2015","2015","1000 US$","9","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","116","Potatoes","2015","2015","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","116","Potatoes","2016","2016","1000 US$","13394","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","116","Potatoes","2017","2017","1000 US$","6905","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","116","Potatoes","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","126","Lithuania","5622","Import Value","116","Potatoes","2016","2016","1000 US$","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","131","Malaysia","5622","Import Value","116","Potatoes","2017","2017","1000 US$","128","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","131","Malaysia","5622","Import Value","116","Potatoes","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","150","Netherlands","5622","Import Value","116","Potatoes","2015","2015","1000 US$","7","*","Unofficial figure"
