Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","122","Sweet potatoes","2016","2016","1000 US$","560","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","208","Tajikistan","5622","Import Value","122","Sweet potatoes","2016","2016","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","122","Sweet potatoes","2015","2015","1000 US$","17","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","122","Sweet potatoes","2016","2016","1000 US$","35","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","122","Sweet potatoes","2018","2018","1000 US$","474","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","122","Sweet potatoes","2019","2019","1000 US$","464","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","122","Sweet potatoes","2020","2020","1000 US$","278","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","122","Sweet potatoes","2019","2019","1000 US$","2","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","170","Peru","5622","Import Value","122","Sweet potatoes","2019","2019","1000 US$","53","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","4","Algeria","41","China, mainland","5622","Import Value","122","Sweet potatoes","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","4","Algeria","117","Republic of Korea","5622","Import Value","122","Sweet potatoes","2016","2016","1000 US$","0","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","21","Brazil","5622","Import Value","122","Sweet potatoes","2020","2020","1000 US$","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","8","Antigua and Barbuda","41","China, mainland","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","41","China, mainland","5622","Import Value","122","Sweet potatoes","2018","2018","1000 US$","0","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","55","Dominica","5622","Import Value","122","Sweet potatoes","2015","2015","1000 US$","32","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","55","Dominica","5622","Import Value","122","Sweet potatoes","2016","2016","1000 US$","30","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","55","Dominica","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","17","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","55","Dominica","5622","Import Value","122","Sweet potatoes","2018","2018","1000 US$","63","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","55","Dominica","5622","Import Value","122","Sweet potatoes","2019","2019","1000 US$","75","","Official data"
"TM","Detailed trade matrix","8","Antigua and Barbuda","56","Dominican Republic","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","16","","Official data"
