Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","41","China, mainland","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","7","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","11617","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","7302","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","102","Iran (Islamic Republic of)","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","106","Italy","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","11","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","106","Italy","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","4","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","113","Kyrgyzstan","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","388","Tomatoes","2015","2015","1000 US$","3966","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","10599","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","5024","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","9518","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","208","Tajikistan","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","7","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","208","Tajikistan","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","66","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","223","Türkiye","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","4","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","388","Tomatoes","2015","2015","1000 US$","128","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","81","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","1873","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","235","Uzbekistan","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","7","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","235","Uzbekistan","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","3","Albania","80","Bosnia and Herzegovina","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","1","","Official data"
"TM","Detailed trade matrix","3","Albania","98","Croatia","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","7","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","388","Tomatoes","2015","2015","1000 US$","271","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","519","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","388","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","670","","Official data"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","388","Tomatoes","2019","2019","1000 US$","328","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","84","Greece","5622","Import Value","388","Tomatoes","2020","2020","1000 US$","361","","Official data"
"TM","Detailed trade matrix","3","Albania","102","Iran (Islamic Republic of)","5622","Import Value","388","Tomatoes","2015","2015","1000 US$","31","","Official data"
"TM","Detailed trade matrix","3","Albania","106","Italy","5622","Import Value","388","Tomatoes","2015","2015","1000 US$","1388","","Official data"
"TM","Detailed trade matrix","3","Albania","106","Italy","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","1008","","Official data"
"TM","Detailed trade matrix","3","Albania","106","Italy","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","292","","Official data"
"TM","Detailed trade matrix","3","Albania","106","Italy","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","821","","Official data"
"TM","Detailed trade matrix","3","Albania","106","Italy","5622","Import Value","388","Tomatoes","2019","2019","1000 US$","426","*","Unofficial figure"
"TM","Detailed trade matrix","3","Albania","106","Italy","5622","Import Value","388","Tomatoes","2020","2020","1000 US$","376","","Official data"
"TM","Detailed trade matrix","3","Albania","273","Montenegro","5622","Import Value","388","Tomatoes","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","3","Albania","154","North Macedonia","5622","Import Value","388","Tomatoes","2016","2016","1000 US$","10","","Official data"
"TM","Detailed trade matrix","3","Albania","154","North Macedonia","5622","Import Value","388","Tomatoes","2018","2018","1000 US$","74","","Official data"
