Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","15","Wheat","2017","2017","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","15","Wheat","2018","2018","1000 US$","10411","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5622","Import Value","15","Wheat","2020","2020","1000 US$","21583","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","15","Wheat","2015","2015","1000 US$","27769","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","15","Wheat","2016","2016","1000 US$","43015","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","15","Wheat","2017","2017","1000 US$","71145","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","15","Wheat","2018","2018","1000 US$","73517","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","15","Wheat","2019","2019","1000 US$","63808","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","108","Kazakhstan","5622","Import Value","15","Wheat","2020","2020","1000 US$","131377","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","15","Wheat","2015","2015","1000 US$","2341","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","15","Wheat","2016","2016","1000 US$","1723","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","15","Wheat","2017","2017","1000 US$","667","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","15","Wheat","2018","2018","1000 US$","4767","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5622","Import Value","15","Wheat","2019","2019","1000 US$","10421","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","185","Russian Federation","5622","Import Value","15","Wheat","2018","2018","1000 US$","11","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","185","Russian Federation","5622","Import Value","15","Wheat","2020","2020","1000 US$","1197","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","213","Turkmenistan","5622","Import Value","15","Wheat","2017","2017","1000 US$","38646","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","213","Turkmenistan","5622","Import Value","15","Wheat","2018","2018","1000 US$","","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","15","Wheat","2015","2015","1000 US$","17","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","15","Wheat","2019","2019","1000 US$","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","225","United Arab Emirates","5622","Import Value","15","Wheat","2020","2020","1000 US$","3","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","231","United States of America","5622","Import Value","15","Wheat","2015","2015","1000 US$","8116","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","235","Uzbekistan","5622","Import Value","15","Wheat","2017","2017","1000 US$","51287","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","235","Uzbekistan","5622","Import Value","15","Wheat","2018","2018","1000 US$","22471","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","235","Uzbekistan","5622","Import Value","15","Wheat","2019","2019","1000 US$","14520","R","Estimated data using trading partners database"
