"","Scientific name","Common name","URL","EPPO.Codes","CABI.Estimated.hosts","CABI.Host.range","EPPO.Estimated.hosts","EPPO.Host.range","First.Outbreak","First.Year.Reported","CABI.Number.of.Locations","CABI.Countries.Located","CABI.States.Located","EPPO.Number.of.Locations","EPPO.States.Located","EPPO.Countries.Located","Agent.type","Family","Genus","Climate.associated","Temp.Min","Temp.Max","Alititude.Lower","Alititude.Upper","Rainfall.Regime","Vector.type","Vector.agent"
"1","Wheat streak mosaic virus","wheat streak","https://www.cabi.org/isc/datasheet/56858","WSMV00","20","c(""Avena fatua (wild oat)"", ""Avena sativa (oats)"", ""Bromus tectorum (downy brome)"", ""Echinochloa crus-galli (barnyard grass)"", ""Eleusine coracana (finger millet)"", ""Eriochloa contracta"", ""Hordeum vulgare (barley)"", ""Panicum capillare (tumble panicgrass)"", ""Pennisetum glaucum (pearl millet)"", ""Poa pratensis (smooth meadow-grass)"", ""Rottboellia cochinchinensis (itch grass)"", ""Secale cereale (rye)"", ""Setaria barbata"", ""Setaria faberi (giant foxtail)"", ""Setaria viridis (green foxtail)"", ""Sorghum bicolor (sorghum)"", 
""Triticum (wheat)"", ""Triticum aestivum (wheat)"", ""Zea mays (maize)"", ""Zingiber officinale (ginger)"")","0","","Kazakhstan","1956","78","c(""Africa"", ""Nigeria"", ""Zambia"", ""Asia"", ""China"", ""Iran"", ""Jordan"", ""Kazakhstan"", ""Syria"", ""Turkey"", ""Uzbekistan"", ""Europe"", ""Bulgaria"", ""Croatia"", ""Czechia"", ""Federal Republic of Yugoslavia"", ""Germany"", ""Hungary"", ""Italy"", ""Moldova"", ""Poland"", ""Romania"", ""Russia"", ""Serbia and Montenegro"", ""Slovakia"", ""Spain"", ""Ukraine"", ""North America"", ""Canada"", ""Mexico"", ""United States"", ""Oceania"", ""Australia"", ""New Zealand"", ""South America"", ""Argentina"", ""Brazil"")","c(""-Xinjiang"", ""-Southern Russia"", ""-Alberta"", ""-Manitoba"", ""-Ontario"", ""-Saskatchewan"", ""-Alabama"", ""-Arkansas"", ""-California"", ""-Colorado"", ""-Delaware"", ""-Idaho"", ""-Illinois"", ""-Indiana"", ""-Iowa"", ""-Kansas"", ""-Kentucky"", ""-Michigan"", ""-Minnesota"", ""-Mississippi"", ""-Missouri"", ""-Montana"", ""-Nebraska"", ""-New York"", ""-North Dakota"", ""-Ohio"", ""-Oklahoma"", ""-Pennsylvania"", ""-South Dakota"", ""-Tennessee"", ""-Texas"", ""-Utah"", ""-Virginia"", ""-Washington"", ""-Wisconsin"", ""-Wyoming"", ""-New South Wales"", ""-Queensland"", 
""-South Australia"", ""-Victoria"", ""-Western Australia"")","0","logical(0)","logical(0)","Virus"," Potyviridae                "," Tritimovirus                    ",NA,"NA","NA","NA","NA",NA,"Mite","Aceria tosichella"
"2","Magnaporthe oryzae Triticum pathotype","wheat blast","https://www.cabi.org/isc/datasheet/121970","PYRIOR","12","c(""Avena strigosa (black oat)"", ""Digitaria insularis (sourgrass)"", ""Digitaria sanguinalis (large crabgrass)"", ""Eleusine indica (goose grass)"", ""Hordeum vulgare (barley)"", ""Leersia hexandra (southern cut grass)"", ""Lolium perenne (perennial ryegrass)"", ""Pennisetum setaceum (fountain grass)"", ""Setaria italica (foxtail millet)"", ""Setaria parviflora (knotroot foxtail)"", ""Triticum aestivum (wheat)"", ""Urochloa plantaginea (marmeladegrass)"")","13","c(""Oryza sativa (ORYSA)"", ""Triticum aestivum (TRZAX)"", ""Oryza australiensis (ORYAU)"", ""Cenchrus ciliaris (PESCI)"", ""Hakonechloa macra (HKNMA)"", ""Lolium arundinaceum (FESAR)"", ""Lolium perenne (LOLPE)"", ""Musa (1MUBG)"", ""Poaceae (1GRAF)"", ""Setaria italica (SETIT)"", ""Sorghum halepense (SORHA)"", ""Triticum (1TRZG)"", ""Zea mays (ZEAMX)"")","-Parana","1985","18","c(""Africa"", ""Zambia"", ""Asia"", ""Bangladesh"", ""North America"", ""United States"", ""South America"", ""Argentina"", ""Bolivia"", ""Brazil"", ""Paraguay"")","c(""-Distrito Federal"", ""-Goias"", ""-Mato Grosso do Sul"", ""-Minas Gerais"", ""-Parana"", ""-Rio Grande do Sul"", ""-Sao Paulo"")","98","c("""", ""Distrito Federal"", ""Espirito Santo"", ""Goias"", ""Mato Grosso"", ""Mato Grosso do Sul"", ""Minas Gerais"", ""Para"", ""Parana"", ""Pernambuco"", ""Piaui"", ""Rio Grande do Sul"", ""Rondonia"", ""Santa Catarina"", ""Sao Paulo"", ""Tocantins"", ""Alabama"", ""Delaware"", ""Florida"", ""Hawaii"", ""Louisiana"", ""Maryland"", ""Mississippi"", ""Ohio"", ""Texas"", ""Anhui"", ""Fujian"", ""Gansu"", ""Guangdong"", ""Guangxi"", ""Guizhou"", ""Hebei"", ""Heilongjiang"", ""Henan"", ""Hubei"", ""Hunan"", ""Jiangsu"", ""Jiangxi"", ""Jilin"", ""Liaoning"", ""Neimenggu"", ""Ningxia"", 
""Qinghai"", ""Shaanxi"", ""Shandong"", ""Shanxi"", ""Sichuan"", ""Xianggang (Hong Kong)"", ""Xinjiang"", ""Yunnan"", ""Zhejiang"", ""Jammu & Kashmir"", ""Tamil Nadu"", ""Java"", ""Nusa Tenggara"", ""Sabah"", ""Sarawak"", ""West"", ""European Russia"", ""Far East"", ""Northern Territory"", ""Queensland"", ""Western Australia"")","c(""Angola"", ""Benin"", ""Burkina Faso"", ""Burundi"", ""Cameroon"", ""Chad"", ""Congo, Democratic republic of the"", ""Cote d'Ivoire"", ""Egypt"", ""Ethiopia"", ""Gambia"", ""Ghana"", ""Guinea"", ""Kenya"", ""Madagascar"", ""Malawi"", ""Mali"", ""Mauritius"", ""Morocco"", ""Mozambique"", ""Niger"", ""Nigeria"", ""Senegal"", ""Sierra Leone"", ""South Africa"", ""Sudan"", ""Tanzania"", ""Togo"", ""Uganda"", ""Zambia"", ""Zimbabwe"", ""Argentina"", ""Belize"", ""Bermuda"", ""Bolivia"", ""Brazil"", ""Colombia"", ""Costa Rica"", ""Cuba"", ""Dominican Republic"", ""El Salvador"", 
""French Guiana"", ""Guadeloupe"", ""Guatemala"", ""Guyana"", ""Haiti"", ""Honduras"", ""Jamaica"", ""Martinique"", ""Mexico"", ""Nicaragua"", ""Panama"", ""Paraguay"", ""Peru"", ""Puerto Rico"", ""Suriname"", ""Trinidad and Tobago"", ""United States of America"", ""Uruguay"", ""Venezuela"", ""Afghanistan"", ""Bangladesh"", ""Brunei Darussalam"", ""Cambodia"", ""China"", ""India"", ""Indonesia"", ""Iran"", ""Iraq"", ""Japan"", ""Korea Dem. People's Republic"", ""Korea, Republic"", ""Laos"", ""Malaysia"", ""Myanmar"", ""Nepal"", ""Pakistan"", ""Philippines"", ""Sri Lanka"", 
""Taiwan"", ""Thailand"", ""Vietnam"", ""Bulgaria"", ""France"", ""Greece"", ""Hungary"", ""Italy"", ""Portugal"", ""Romania"", ""Russia"", ""Serbia"", ""Spain"", ""Turkey"", ""Ukraine"", ""Australia"", ""Fiji"", ""Micronesia"", ""New Caledonia"")","Fungi"," Magnaporthaceae                            "," Magnaporthe                                ",NA,"NA","NA","NA","NA",NA,"NA","NA"
"3","Alternaria triticina","leaf blight of wheat","https://www.cabi.org/isc/datasheet/4534","0","11","c(""Avena sativa (oats)"", ""Convolvulus arvensis (bindweed)"", ""Hordeum vulgare (barley)"", ""Musa (banana)"", ""Secale cereale (rye)"", ""Triticale"", ""Triticum aestivum (wheat)"", ""Triticum dicoccum"", ""Triticum sphaerococcum (Dwarf wheat)"", ""Triticum turgidum (durum wheat)"", ""Triticum turgidum subsp. durum"")","0","","c(""-Bihar"", ""-Maharashtra"")","1924","49","c(""Africa"", ""Egypt"", ""Nigeria"", ""Asia"", ""Bangladesh"", ""China"", ""India"", ""Iran"", ""Iraq"", ""Israel"", ""Lebanon"", ""Nepal"", ""Pakistan"", ""Turkey"", ""Yemen"", ""Europe"", ""Denmark"", ""France"", ""Greece"", ""Italy"", ""North Macedonia"", ""Portugal"", ""Russia"", ""North America"", ""Mexico"", ""South America"", ""Argentina"")","c(""-Gansu"", ""-Hebei"", ""-Henan"", ""-Qinghai"", ""-Shaanxi"", ""-Andhra Pradesh"", ""-Assam"", ""-Bihar"", ""-Delhi"", ""-Gujarat"", ""-Haryana"", ""-Himachal Pradesh"", ""-Jammu and Kashmir"", ""-Karnataka"", ""-Madhya Pradesh"", ""-Maharashtra"", ""-Odisha"", ""-Punjab"", ""-Rajasthan"", ""-Uttar Pradesh"", ""-Uttarakhand"", ""-West Bengal"")","0","","","Fungi"," Pleosporaceae                                "," Alternaria                                    ","c(""As - Tropical savanna climate with dry summer"", ""Aw - Tropical wet and dry savanna climate"", ""BS - Steppe climate"", ""Cs - Warm temperate climate with dry summer"", ""Cw - Warm temperate climate with dry winter"")","NA","NA","NA","NA",NA,"NA","NA"
"4","Tilletia indica","Karnal bunt of wheat","https://www.cabi.org/isc/datasheet/36168","0","4","c(""Triticale"", ""Triticum (wheat)"", ""Triticum aestivum (wheat)"", ""Triticum turgidum subsp. durum"")","0","","c(""India"", ""-Bihar"", ""-Delhi"", ""-Haryana"", ""-Himachal Pradesh"", ""-Jammu and Kashmir"", ""-Punjab"", ""-Rajasthan"", ""-Uttar Pradesh"", ""-West Bengal"")","1983","27","c(""Africa"", ""South Africa"", ""Asia"", ""Afghanistan"", ""India"", ""Iran"", ""Iraq"", ""Nepal"", ""Pakistan"", ""Europe"", ""North America"", ""Mexico"", ""United States"", ""South America"")","c(""-Bihar"", ""-Delhi"", ""-Gujarat"", ""-Haryana"", ""-Himachal Pradesh"", ""-Jammu and Kashmir"", ""-Madhya Pradesh"", ""-Punjab"", ""-Rajasthan"", ""-Uttar Pradesh"", ""-Uttarakhand"", ""-West Bengal"", ""-Arizona"")","0","","","Fungi"," Tilletiaceae                                "," Tilletia                                    ","NA","NA","NA","NA","NA",NA,"NA","NA"
"5","Xanthomonas translucens pv. undulosa","bacterial leaf streak of wheat and barley","https://www.cabi.org/isc/datasheet/56979","0","4","c(""Hordeum vulgare (barley)"", ""Secale cereale (rye)"", ""Triticum aestivum (wheat)"", ""Triticum spelta (spelt)"")","0","","","0","0","","","0","","","Bacteria"," Xanthomonadaceae                    "," Xanthomonas                        ","","0","0","0","0","","",""
"6","Tilletia controversa","dwarf bunt of wheat","https://www.cabi.org/isc/datasheet/53924","0","7","c(""Agropyron (wheatgrass)"", ""Elymus (wildrye)"", ""Hordeum vulgare (barley)"", ""Poaceae (grasses)"", ""Secale cereale (rye)"", ""Triticum (wheat)"", ""Triticum aestivum (wheat)"")","0","","Afghanistan","1992","62","c(""Africa"", ""Algeria"", ""Libya"", ""Tunisia"", ""Asia"", ""Afghanistan"", ""Armenia"", ""Georgia"", ""Iran"", ""Iraq"", ""Japan"", ""Kazakhstan"", ""Kyrgyzstan"", ""Syria"", ""Tajikistan"", ""Turkey"", ""Turkmenistan"", ""Uzbekistan"", ""Europe"", ""Albania"", ""Austria"", ""Bulgaria"", ""Croatia"", ""Czechia"", ""Germany"", ""Greece"", ""Hungary"", ""Italy"", ""Latvia"", ""Luxembourg"", ""Moldova"", ""Montenegro"", ""Poland"", ""Romania"", ""Russia"", ""Slovakia"", ""Slovenia"", ""Sweden"", ""Switzerland"", ""Ukraine"", ""North America"", ""Canada"", ""United States"", ""Oceania"", 
""South America"")","c(""-Central Russia"", ""-Siberia"", ""-Southern Russia"", ""-Western Siberia"", ""-British Columbia"", ""-Ontario"", ""-Colorado"", ""-Idaho"", ""-Indiana"", ""-Kansas"", ""-Michigan"", ""-Montana"", ""-New York"", ""-Oregon"", ""-Utah"", ""-Washington"", ""-Wyoming"")","0","","","Fungi"," Tilletiaceae                                "," Tilletia                                    ","NA","NA","NA","NA","NA",NA,"NA","NA"
"7","Anguina tritici","wheat seed gall nematode","https://www.cabi.org/isc/datasheet/5388","ANGUTR","8","c(""Avena sativa (oats)"", ""Hordeum vulgare (barley)"", ""Secale cereale (rye)"", ""Triticum (wheat)"", ""Triticum aestivum (wheat)"", ""Triticum dicoccum"", ""Triticum spelta (spelt)"", ""Triticum turgidum (durum wheat)"")","2","c(""Triticum aestivum (TRZAX)"", ""Avena sativa (AVESA)"")","Italy","1920","63","c(""Africa"", ""Egypt"", ""Ethiopia"", ""Asia"", ""Afghanistan"", ""Azerbaijan"", ""China"", ""India"", ""Iran"", ""Iraq"", ""Israel"", ""Pakistan"", ""Saudi Arabia"", ""South Korea"", ""Syria"", ""Taiwan"", ""Turkey"", ""Europe"", ""Austria"", ""Bulgaria"", ""Croatia"", ""Cyprus"", ""France"", ""Germany"", ""Greece"", ""Hungary"", ""Ireland"", ""Italy"", ""Lithuania"", ""Netherlands"", ""Poland"", ""Romania"", ""Russia"", ""Serbia"", ""Serbia and Montenegro"", ""Slovenia"", ""Spain"", ""Sweden"", ""Switzerland"", ""Ukraine"", ""United Kingdom"", ""North America"", ""Oceania"", ""Australia"", 
""New Zealand"", ""South America"")","c(""-Anhui"", ""-Guizhou"", ""-Hebei"", ""-Henan"", ""-Jiangsu"", ""-Shandong"", ""-Zhejiang"", ""-Bihar"", ""-Delhi"", ""-Haryana"", ""-Jammu and Kashmir"", ""-Madhya Pradesh"", ""-Punjab"", ""-Rajasthan"", ""-Uttar Pradesh"", ""-Russian Far East"", ""-Western Australia"")","41","c("""", ""Georgia"", ""Maryland"", ""North Carolina"", ""South Carolina"", ""Virginia"", ""West Virginia"", ""Anhui"", ""Guizhou"", ""Hebei"", ""Henan"", ""Jiangsu"", ""Shandong"", ""Zhejiang"", ""Bihar"", ""Delhi"", ""Haryana"", ""Jammu & Kashmir"", ""Madhya Pradesh"", ""Punjab"", ""Rajasthan"", ""Uttar Pradesh"", ""Far East"", ""Western Australia"")","c(""Egypt"", ""Ethiopia"", ""Brazil"", ""United States of America"", ""Afghanistan"", ""China"", ""India"", ""Iran"", ""Iraq"", ""Israel"", ""Korea, Republic"", ""Pakistan"", ""Saudi Arabia"", ""Syria"", ""Taiwan"", ""Austria"", ""Azerbaijan"", ""Bulgaria"", ""Croatia"", ""Cyprus"", ""Denmark"", ""France"", ""Germany"", ""Greece"", ""Hungary"", ""Ireland"", ""Italy"", ""Lithuania"", ""Netherlands"", ""Poland"", ""Romania"", ""Russia"", ""Serbia"", ""Spain"", ""Sweden"", ""Switzerland"", ""Turkey"", ""Ukraine"", ""United Kingdom"", ""Australia"", ""New Zealand"")","Nematoda"," Anguinidae                        "," Anguina                            ","NA","NA","NA","NA","NA",NA,"NA","NA"
"8","Urocystis agropyri","flag smut of wheat","https://www.cabi.org/isc/datasheet/55784","0","36","c(""Aegilops triuncialis var. triuncialis"", ""Agropyron (wheatgrass)"", ""Agrostis (bentgrasses)"", ""Agrostis capillaris (common bent)"", ""Agrostis stolonifera var. palustris (bent grass)"", ""Alopecurus (foxtails)"", ""Avena sativa (oats)"", ""Bromus (bromegrasses)"", ""Bromus carinatus (California brome grass)"", ""Bromus marginatus (Mountain brome(grass))"", ""Calamagrostis canadensis"", ""Carex (sedges)"", ""Dactylis glomerata (cocksfoot)"", ""Elymus (wildrye)"", ""Elymus repens (quackgrass)"", ""Elymus smithii (Colorado bluestem)"", 
""Festuca (fescues)"", ""Festuca rubra (red fescue)"", ""Glyceria (mannagrass)"", ""Holcus (softgrasses)"", ""Hordeum (barleys)"", ""Koeleria"", ""Lolium (ryegrasses)"", ""Lolium multiflorum (Italian ryegrass)"", ""Lolium perenne (perennial ryegrass)"", ""Melica"", ""Phleum (timothies)"", ""Phleum pratense (timothy grass)"", ""Poa (meadow grass)"", ""Poa pratensis (smooth meadow-grass)"", ""Thinopyrum elongatum"", ""Trisetum"", ""Triticum (wheat)"", ""Triticum aestivum (wheat)"", ""Triticum dicoccum"", ""Triticum turgidum (durum wheat)""
)","0","","Czechoslovakia","1953","151","c(""Africa"", ""Algeria"", ""Egypt"", ""Libya"", ""Morocco"", ""South Africa"", ""Tunisia"", ""Asia"", ""Afghanistan"", ""China"", ""India"", ""Iran"", ""Iraq"", ""Israel"", ""Japan"", ""Kazakhstan"", ""Mongolia"", ""Nepal"", ""North Korea"", ""Pakistan"", ""South Korea"", ""Taiwan"", ""Turkey"", ""Uzbekistan"", ""Europe"", ""Bulgaria"", ""Cyprus"", ""Czechia"", ""Czechoslovakia"", ""Estonia"", ""Finland"", ""France"", ""Greece"", ""Hungary"", ""Ireland"", ""Italy"", ""Latvia"", ""Lithuania"", ""Netherlands"", ""Norway"", ""Poland"", ""Portugal"", ""Romania"", ""Russia"", ""Serbia and Montenegro"", 
""Spain"", ""Sweden"", ""Switzerland"", ""Ukraine"", ""United Kingdom"", ""North America"", ""Canada"", ""Greenland"", ""Guatemala"", ""Mexico"", ""United States"", ""Oceania"", ""Australia"", ""New Zealand"", ""South America"", ""Bolivia"", ""Chile"", ""Falkland Islands"", ""Uruguay"", ""Venezuela"")","c(""-Anhui"", ""-Fujian"", ""-Gansu"", ""-Guangxi"", ""-Guizhou"", ""-Hebei"", ""-Heilongjiang"", ""-Henan"", ""-Hubei"", ""-Inner Mongolia"", ""-Jiangsu"", ""-Jiangxi"", ""-Jilin"", ""-Ningxia"", ""-Qinghai"", ""-Shaanxi"", ""-Shandong"", ""-Shanxi"", ""-Sichuan"", ""-Tibet"", ""-Xinjiang"", ""-Yunnan"", ""-Zhejiang"", ""-Bihar"", ""-Delhi"", ""-Haryana"", ""-Himachal Pradesh"", ""-Jammu and Kashmir"", ""-Madhya Pradesh"", ""-Punjab"", ""-Rajasthan"", ""-Uttar Pradesh"", ""-Honshu"", ""-Eastern Siberia"", ""-Russia (Europe)"", ""-Siberia"", ""-Western Siberia"", ""-Alberta"", 
""-British Columbia"", ""-Manitoba"", ""-Ontario"", ""-Quebec"", ""-Alaska"", ""-Arizona"", ""-Arkansas"", ""-California"", ""-Colorado"", ""-Connecticut"", ""-District of Columbia"", ""-Idaho"", ""-Illinois"", ""-Indiana"", ""-Iowa"", ""-Kansas"", ""-Maryland"", ""-Massachusetts"", ""-Michigan"", ""-Minnesota"", ""-Mississippi"", ""-Missouri"", ""-Montana"", ""-Nebraska"", ""-Nevada"", ""-New Hampshire"", ""-New Mexico"", ""-New York"", ""-North Dakota"", ""-Oklahoma"", ""-Oregon"", ""-Pennsylvania"", ""-South Dakota"", ""-Tennessee"", ""-Utah"", ""-Vermont"", ""-Virginia"", 
""-Washington"", ""-West Virginia"", ""-Wisconsin"", ""-Wyoming"", ""-New South Wales"", ""-Northern Territory"", ""-Queensland"", ""-South Australia"", ""-Tasmania"", ""-Victoria"", ""-Western Australia"")","0","","","Fungi"," Urocystidaceae                            "," Urocystis                                ","c(""BS - Steppe climate"", ""BW - Desert climate"", ""Cf - Warm temperate climate, wet all year"", ""Cs - Warm temperate climate with dry summer"", ""Dw - Continental climate with dry winter"")","NA","NA","NA","NA",NA,"NA","NA"
"9","Diuraphis noxia","Russian wheat aphid","https://www.cabi.org/isc/datasheet/9887","0","9","c(""Avena fatua (wild oat)"", ""Avena sativa (oats)"", ""Hordeum vulgare (barley)"", ""Poaceae (grasses)"", ""Secale cereale (rye)"", ""Sorghum halepense (Johnson grass)"", ""Triticale"", ""Triticum aestivum (wheat)"", ""Triticum turgidum (durum wheat)"")","0","","c(""-Central Russia"", ""-Russia (Europe)"")","1914","79","c(""Africa"", ""Algeria"", ""Egypt"", ""Ethiopia"", ""Kenya"", ""Libya"", ""Morocco"", ""South Africa"", ""Zimbabwe"", ""Asia"", ""Afghanistan"", ""China"", ""Iran"", ""Iraq"", ""Israel"", ""Jordan"", ""Kazakhstan"", ""Kyrgyzstan"", ""Pakistan"", ""Saudi Arabia"", ""Syria"", ""Turkey"", ""Uzbekistan"", ""Yemen"", ""Europe"", ""Albania"", ""Bulgaria"", ""Croatia"", ""Czechia"", ""France"", ""Germany"", ""Greece"", ""Hungary"", ""Italy"", ""Moldova"", ""North Macedonia"", ""Portugal"", ""Russia"", ""Serbia and Montenegro"", ""Slovakia"", ""Spain"", ""Ukraine"", ""North America"", ""Canada"", 
""Mexico"", ""United States"", ""Oceania"", ""Australia"", ""South America"", ""Argentina"", ""Chile"")","c(""-Xinjiang"", ""-Madeira"", ""-Central Russia"", ""-Russia (Europe)"", ""-Alberta"", ""-British Columbia"", ""-Saskatchewan"", ""-Arizona"", ""-California"", ""-Colorado"", ""-Idaho"", ""-Kansas"", ""-Montana"", ""-Nebraska"", ""-Nevada"", ""-New Mexico"", ""-North Dakota"", ""-Oklahoma"", ""-Oregon"", ""-South Dakota"", ""-Texas"", ""-Utah"", ""-Washington"", ""-Wisconsin"", ""-Wyoming"", ""-New South Wales"", ""-South Australia"", ""-Victoria"")","0","","","Arthropoda"," Aphididae                                    "," Diuraphis                                        ","NA","NA","NA","NA","NA",NA,"NA","NA"
"10","Trogoderma granarium","khapra beetle","https://www.cabi.org/isc/datasheet/55010","0","18","c(""Arachis hypogaea (groundnut)"", ""Cicer arietinum (chickpea)"", ""Gossypium (cotton)"", ""Helianthus annuus (sunflower)"", ""Hordeum vulgare (barley)"", ""Oryza sativa (rice)"", ""Panicum miliaceum (millet)"", ""Pennisetum glaucum (pearl millet)"", ""Phaseolus vulgaris (common bean)"", ""Sesamum indicum (sesame)"", ""Sorghum"", ""Sorghum bicolor (sorghum)"", ""Triticum (wheat)"", ""Triticum aestivum (wheat)"", ""Vicia faba (faba bean)"", ""Vigna unguiculata (cowpea)"", ""Zea mays (maize)"", ""Zingiber officinale (ginger)"")","0","","Israel","1939","54","c(""Africa"", ""Algeria"", ""Burkina Faso"", ""Egypt"", ""Libya"", ""Madagascar"", ""Mali"", ""Mauritania"", ""Morocco"", ""Niger"", ""Nigeria"", ""Senegal"", ""Somalia"", ""Sudan"", ""Tunisia"", ""Zambia"", ""Zimbabwe"", ""Asia"", ""Afghanistan"", ""Bangladesh"", ""India"", ""Iran"", ""Iraq"", ""Israel"", ""Lebanon"", ""Myanmar"", ""Nepal"", ""Pakistan"", ""Qatar"", ""Saudi Arabia"", ""South Korea"", ""Sri Lanka"", ""Syria"", ""Turkey"", ""Yemen"", ""Europe"", ""Albania"", ""Cyprus"", ""Greece"", ""Norway"", ""Union of Soviet Socialist Republics"", ""United Kingdom"", ""North America"", 
""Oceania"", ""South America"")","c(""-Zanzibar Island"", ""-Andhra Pradesh"", ""-Assam"", ""-Haryana"", ""-Himachal Pradesh"", ""-Rajasthan"", ""-Uttar Pradesh"", ""-West Bengal"", ""-Sardinia"")","0","","","Arthropoda"," Dermestidae                            "," Trogoderma                                ","NA","19","45","NA","NA",NA,"NA","NA"
